# Program:featureCounts v1.5.2; Command:"featureCounts" "-T" "8" "-t" "exon" "-f" "-g" "ID" "-p" "-O" "-a" "/gpfs/group/pipkin/Exp337/codes/GRCm38_exon_rmdup_srt_cb_srt_dupr_f.gff" "-o" "337-17_f.txt" "/gpfs/group/pipkin/Exp337/srt_flt_bam/non_dupr/stranded_bam/337-17_neg_pSrt.bam" 
Geneid	Chr	Start	End	Strand	Length	/gpfs/group/pipkin/Exp337/srt_flt_bam/non_dupr/stranded_bam/337-17_neg_pSrt.bam
ENSMUSE00001368003	6	48537638	48539863	+	2226	0
ENSMUSE00000295790	6	48537665	48541801	+	4137	3
ENSMUSE00000699716	6	48554796	48570722	+	15927	38
ENSMUSE00000749570	6	48554799	48568326	+	13528	28
ENSMUSE00001366850	6	48554799	48568346	+	13548	28
ENSMUSE00000699706	6	48554805	48570721	+	15917	38
ENSMUSE00000699715	6	48554811	48568529	+	13719	28
ENSMUSE00001365635	6	48589445	48590584	+	1140	0
ENSMUSE00001120091	6	48589588	48590518	+	931	0
ENSMUSE00001365263	6	48589610	48613250	+	23641	69
ENSMUSE00000844732	6	48593883	48599081	+	5199	13
ENSMUSE00000722225	6	48593891	48599082	+	5192	13
ENSMUSE00000819238	6	48593900	48599081	+	5182	13
ENSMUSE00000654993	6	48593940	48595333	+	1394	3
ENSMUSE00000791457	6	48593941	48613251	+	19311	69
ENSMUSE00001367282	6	48593944	48619278	+	25335	77
ENSMUSE00000834395	6	48594319	48596623	+	2305	6
ENSMUSE00001367851	6	48602063	48623227	+	21165	67
ENSMUSE00001367681	6	48605538	48619742	+	14205	45
ENSMUSE00000384603	6	48613180	48623227	+	10048	17
ENSMUSE00000914485	6	48626764	48633685	+	6922	12
ENSMUSE00001368217	6	48627223	48629463	+	2241	3
ENSMUSE00001366646	6	48627281	48629463	+	2183	3
ENSMUSE00000617365	6	48627935	48633689	+	5755	12
ENSMUSE00000699681	6	48647234	48659800	+	12567	1286
ENSMUSE00000474461	6	48647361	48660875	+	13515	1418
ENSMUSE00000347903	6	48676129	48678699	+	2571	227
ENSMUSE00000727052	6	48677511	48679114	+	1604	179
ENSMUSE00000710471	6	48684549	48691378	+	6830	1682
ENSMUSE00001266658	6	48684578	48692060	+	7483	1854
ENSMUSE00000819885	6	48718607	48752600	+	33994	752
ENSMUSE00000350037	6	48718621	48724636	+	6016	70
ENSMUSE00001366384	6	48718654	48729763	+	11110	115
ENSMUSE00001365861	6	48718657	48723739	+	5083	49
ENSMUSE00001366826	6	48718665	48719670	+	1006	12
ENSMUSE00000444553	6	48739054	48743790	+	4737	155
ENSMUSE00001316082	6	48739057	48752644	+	13588	612
ENSMUSE00001317387	6	48739073	48742723	+	3651	111
ENSMUSE00000804450	6	48739076	48743794	+	4719	155
ENSMUSE00001365658	6	48739087	48740035	+	949	26
ENSMUSE00000819141	6	48739107	48741796	+	2690	74
ENSMUSE00001370008	6	48742182	48743795	+	1614	81
ENSMUSE00000449030	6	48746197	48754210	+	8014	533
ENSMUSE00000794575	6	48746198	48747485	+	1288	183
ENSMUSE00000810625	6	48746199	48747512	+	1314	189
ENSMUSE00001364826	6	48746299	48748626	+	2328	284
ENSMUSE00001366144	6	48755338	48756368	+	1031	45
ENSMUSE00001368058	6	48819024	48820467	+	1444	0
ENSMUSE00001368964	6	48840919	48842330	+	1412	0
ENSMUSE00001369508	6	48841512	48845869	+	4358	0
ENSMUSE00000341071	6	48841522	48847071	+	5550	0
ENSMUSE00001365560	6	48841548	48845361	+	3814	0
ENSMUSE00000134552	6	48842589	48843592	+	1004	0
ENSMUSE00000654949	6	48860329	48866083	+	5755	0
ENSMUSE00001366918	6	48860424	48864444	+	4021	0
ENSMUSE00001369496	6	48872896	48905876	+	32981	4
ENSMUSE00000293361	6	48895254	48909188	+	13935	1
ENSMUSE00000193014	6	48904986	48909187	+	4202	1
ENSMUSE00000862720	6	48907355	48908651	+	1297	1
ENSMUSE00000940505	6	48929895	48933687	+	3793	0
ENSMUSE00000847845	6	48934794	48934923	+	130	0
ENSMUSE00001365020	6	48956358	48956841	+	484	0
ENSMUSE00001367029	6	48962883	48964128	+	1246	0
ENSMUSE00001316385	6	48974963	48978745	+	3783	1
ENSMUSE00000561703	6	48975074	48978746	+	3673	1
ENSMUSE00001028620	6	48977234	48978743	+	1510	0
ENSMUSE00001367072	6	48981120	48982209	+	1090	0
ENSMUSE00000388267	6	48986861	48991722	+	4862	0
ENSMUSE00001364976	6	48995224	48997653	+	2430	0
ENSMUSE00001368867	6	49036546	49038377	+	1832	3
ENSMUSE00000899127	6	49036615	49058182	+	21568	16
ENSMUSE00001369685	6	49036665	49042907	+	6243	5
ENSMUSE00000193046	6	49036677	49070929	+	34253	22
ENSMUSE00001368458	6	49047424	49048351	+	928	0
ENSMUSE00001369445	6	49254851	49256462	+	1612	1
ENSMUSE00001364729	6	49286721	49287285	+	565	0
ENSMUSE00000755956	6	49319274	49341582	+	22309	115
ENSMUSE00000699514	6	49319307	49341578	+	22272	115
ENSMUSE00000561635	6	49367739	49390539	+	22801	58
ENSMUSE00000331879	6	49367823	49389280	+	21458	57
ENSMUSE00000748329	6	49367896	49376242	+	8347	22
ENSMUSE00000794733	6	49378974	49385455	+	6482	24
ENSMUSE00000761996	6	49385252	49389273	+	4022	7
ENSMUSE00001368369	6	49387479	49389218	+	1740	2
ENSMUSE00000292145	6	49395604	49469501	+	73898	8
ENSMUSE00000292138	6	49395635	49469352	+	73718	8
ENSMUSE00000292052	6	49438564	49469500	+	30937	7
ENSMUSE00000699505	6	49822710	49829507	+	6798	4
ENSMUSE00001370105	6	50051186	50107628	+	56443	14
ENSMUSE00000897626	6	50110241	50198598	+	88358	481
ENSMUSE00000277409	6	50110249	50198587	+	88339	480
ENSMUSE00000277399	6	50110278	50198939	+	88662	481
ENSMUSE00001366609	6	50110280	50113802	+	3523	37
ENSMUSE00000877222	6	50180300	50196558	+	16259	130
ENSMUSE00000873480	6	50194416	50198327	+	3912	28
ENSMUSE00000796807	6	50566643	50594865	+	28223	27
ENSMUSE00000799415	6	50566738	50594822	+	28085	27
ENSMUSE00001367810	6	50599869	50600240	+	372	0
ENSMUSE00000915506	6	50608637	50610682	+	2046	2
ENSMUSE00001365425	6	50776115	50814894	+	38780	3
ENSMUSE00001367685	6	50776324	50815033	+	38710	3
ENSMUSE00001368633	6	50909770	50910735	+	966	0
ENSMUSE00001364935	6	50967268	50967505	+	238	0
ENSMUSE00001370160	6	51379710	51392791	+	13082	0
ENSMUSE00000855620	6	51432670	51458768	+	26099	6
ENSMUSE00000193151	6	51432749	51456876	+	24128	4
ENSMUSE00001267192	6	51432749	51436928	+	4180	1
ENSMUSE00001056601	6	51621632	51621708	+	77	2
ENSMUSE00001365541	6	52012601	52026986	+	14386	1
ENSMUSE00000727089	6	52102949	52112528	+	9580	3
ENSMUSE00000827643	6	52102994	52113684	+	10691	3
ENSMUSE00000720384	6	52118242	52118891	+	650	0
ENSMUSE00000761801	6	52156902	52158528	+	1627	0
ENSMUSE00000738637	6	52158432	52162119	+	3688	3
ENSMUSE00001317389	6	52158432	52158556	+	125	0
ENSMUSE00000852862	6	52158524	52162020	+	3497	3
ENSMUSE00001314986	6	52161042	52161255	+	214	0
ENSMUSE00001317270	6	52162010	52162111	+	102	1
ENSMUSE00001317894	6	52162125	52162267	+	143	0
ENSMUSE00000760701	6	52165674	52169451	+	3778	0
ENSMUSE00001326336	6	52166518	52169564	+	3047	0
ENSMUSE00000699341	6	52168510	52169564	+	1055	0
ENSMUSE00000774112	6	52172881	52174059	+	1179	0
ENSMUSE00000740908	6	52175217	52193020	+	17804	4
ENSMUSE00000773643	6	52175235	52215076	+	39842	9
ENSMUSE00000437588	6	52177498	52180851	+	3354	0
ENSMUSE00001331525	6	52183110	52189925	+	6816	0
ENSMUSE00001322377	6	52183725	52189852	+	6128	0
ENSMUSE00000760441	6	52201124	52213615	+	12492	2
ENSMUSE00000796811	6	52244393	52249791	+	5399	1
ENSMUSE00000842096	6	52245243	52249790	+	4548	1
ENSMUSE00000747322	6	52245969	52249795	+	3827	1
ENSMUSE00001316185	6	52246009	52246104	+	96	0
ENSMUSE00000810857	6	52246221	52249380	+	3160	1
ENSMUSE00001315168	6	52246399	52246585	+	187	0
ENSMUSE00001314877	6	52246718	52246808	+	91	0
ENSMUSE00001315914	6	52247421	52247653	+	233	0
ENSMUSE00000818436	6	52248422	52249799	+	1378	1
ENSMUSE00001315783	6	52261154	52261212	+	59	0
ENSMUSE00001314370	6	52262592	52262969	+	378	0
ENSMUSE00000768623	6	52262775	52267603	+	4829	0
ENSMUSE00000799420	6	52262784	52267079	+	4296	0
ENSMUSE00001317027	6	52263058	52263418	+	361	0
ENSMUSE00001316983	6	52266584	52266754	+	171	0
ENSMUSE00001367634	6	52297124	52297851	+	728	0
ENSMUSE00000192569	6	52313498	52318378	+	4881	0
ENSMUSE00000817898	6	52313552	52316644	+	3093	0
ENSMUSE00001366414	6	52492451	52500086	+	7636	0
ENSMUSE00001369308	6	52509889	52514036	+	4148	1
ENSMUSE00001367872	6	52560552	52563234	+	2683	0
ENSMUSE00000756204	6	52713729	52766780	+	53052	6007
ENSMUSE00001253548	6	52713750	52733255	+	19506	2154
ENSMUSE00000192594	6	52713763	52731543	+	17781	1971
ENSMUSE00000843122	6	52740877	52742804	+	1928	242
ENSMUSE00000807936	6	52757475	52762207	+	4733	526
ENSMUSE00000708554	6	53045884	53046423	+	540	12
ENSMUSE00001368498	6	53221164	53224975	+	3812	0
ENSMUSE00001369406	6	53287270	53700376	+	413107	46
ENSMUSE00001368260	6	53287286	53649006	+	361721	44
ENSMUSE00001365987	6	53287318	53612096	+	324779	39
ENSMUSE00001367449	6	53287318	53288707	+	1390	0
ENSMUSE00001367837	6	53290423	53694818	+	404396	46
ENSMUSE00001368574	6	53310871	53694818	+	383948	45
ENSMUSE00001072859	6	53433974	53434137	+	164	0
ENSMUSE00000274312	6	53573300	53700367	+	127068	13
ENSMUSE00001364540	6	53573375	53613588	+	40214	9
ENSMUSE00001368842	6	53667770	53669983	+	2214	0
ENSMUSE00001367146	6	53777384	53778140	+	757	0
ENSMUSE00001366746	6	53818743	53868183	+	49441	10
ENSMUSE00001365237	6	53819974	53822150	+	2177	0
ENSMUSE00000665120	6	53819975	53820040	+	66	0
ENSMUSE00001369570	6	53978691	54017385	+	38695	4
ENSMUSE00001365358	6	53978701	53981793	+	3093	0
ENSMUSE00001368023	6	53978729	54009786	+	31058	4
ENSMUSE00001369087	6	54009712	54018030	+	8319	0
ENSMUSE00000802944	6	54039554	54067798	+	28245	39
ENSMUSE00000808664	6	54039573	54300721	+	261149	489
ENSMUSE00001275920	6	54039613	54220570	+	180958	298
ENSMUSE00000699207	6	54040039	54222550	+	182512	302
ENSMUSE00001283082	6	54097720	54220537	+	122818	196
ENSMUSE00000483205	6	54264858	54300391	+	35534	52
ENSMUSE00000561319	6	54272490	54301810	+	29321	37
ENSMUSE00001366430	6	54325835	54327908	+	2074	2
ENSMUSE00000371024	6	54326883	54330201	+	3319	3
ENSMUSE00000826752	6	54429603	54503765	+	74163	3
ENSMUSE00001245845	6	54452883	54503768	+	50886	3
ENSMUSE00000834410	6	54472002	54485360	+	13359	1
ENSMUSE00000768585	6	54487906	54491542	+	3637	1
ENSMUSE00000906597	6	54595111	54645839	+	50729	7
ENSMUSE00000273545	6	54603147	54641033	+	37887	6
ENSMUSE00001327489	6	54681624	54703851	+	22228	887
ENSMUSE00001333669	6	54681754	54701141	+	19388	778
ENSMUSE00001332073	6	54681802	54689520	+	7719	278
ENSMUSE00001365497	6	54693646	54694057	+	412	19
ENSMUSE00000513731	6	54816916	54893500	+	76585	2988
ENSMUSE00000818121	6	54817270	54878421	+	61152	2284
ENSMUSE00001207374	6	54817448	54885111	+	67664	2441
ENSMUSE00001366812	6	54902422	54905728	+	3307	265
ENSMUSE00000664466	6	54974651	54974779	+	129	0
ENSMUSE00000273099	6	55038007	55079500	+	41494	1331
ENSMUSE00001368647	6	55048063	55050966	+	2904	136
ENSMUSE00001369326	6	55050095	55061063	+	10969	268
ENSMUSE00001365841	6	55154459	55167210	+	12752	0
ENSMUSE00000907781	6	55203383	55320222	+	116840	19
ENSMUSE00001369152	6	55278155	55318315	+	40161	2
ENSMUSE00000192689	6	55336432	55348555	+	12124	0
ENSMUSE00000426397	6	55376295	55382860	+	6566	0
ENSMUSE00001369466	6	55376343	55388530	+	12188	1
ENSMUSE00000192700	6	55376365	55388319	+	11955	1
ENSMUSE00001365580	6	55396887	55412285	+	15399	0
ENSMUSE00001384358	6	55405312	55405600	+	289	0
ENSMUSE00000521017	6	55451978	55498905	+	46928	4
ENSMUSE00000448958	6	55452028	55501451	+	49424	4
ENSMUSE00000910514	6	55452177	55460245	+	8069	1
ENSMUSE00000448982	6	55460236	55497428	+	37193	3
ENSMUSE00001354004	6	55533506	55533615	+	110	0
ENSMUSE00001368693	6	55684571	55694574	+	10004	3
ENSMUSE00000699014	6	55836895	55978622	+	141728	16
ENSMUSE00000877133	6	55886825	55978735	+	91911	12
ENSMUSE00000366568	6	56017497	56032689	+	15193	4
ENSMUSE00001365565	6	56714899	56716312	+	1414	179
ENSMUSE00000416257	6	56714927	56761912	+	46986	3200
ENSMUSE00001208835	6	56714938	56737157	+	22220	1982
ENSMUSE00001365301	6	56714942	56728251	+	13310	1308
ENSMUSE00000949753	6	56740913	56754052	+	13140	444
ENSMUSE00001370148	6	56797591	56799197	+	1607	2
ENSMUSE00000331499	6	56832059	56879358	+	47300	3
ENSMUSE00000733634	6	56849333	56850660	+	1328	0
ENSMUSE00001367065	6	56924015	56928408	+	4394	1
ENSMUSE00000962022	6	56924022	56958100	+	34079	24
ENSMUSE00000955693	6	56949332	56958100	+	8769	4
ENSMUSE00000665119	6	56956466	56957499	+	1034	0
ENSMUSE00001434410	6	56970273	56988390	+	18118	0
ENSMUSE00000885096	6	56985295	56986350	+	1056	0
ENSMUSE00001434641	6	56997243	57009825	+	12583	1
ENSMUSE00000516113	6	57002300	57003357	+	1058	0
ENSMUSE00001430824	6	57032284	57037391	+	5108	0
ENSMUSE00001433160	6	57032308	57037383	+	5076	0
ENSMUSE00000511934	6	57035913	57037125	+	1213	0
ENSMUSE00001434795	6	57066787	57074906	+	8120	3
ENSMUSE00000905706	6	57070895	57071945	+	1051	0
ENSMUSE00001435840	6	57109454	57115035	+	5582	0
ENSMUSE00000956121	6	57113425	57114360	+	936	0
ENSMUSE00001430735	6	57133455	57139617	+	6163	0
ENSMUSE00000560778	6	57137353	57138252	+	900	0
ENSMUSE00001435984	6	57156919	57165329	+	8411	3
ENSMUSE00001430311	6	57156920	57165329	+	8410	3
ENSMUSE00000894250	6	57158920	57159843	+	924	0
ENSMUSE00000955465	6	57188507	57189344	+	838	0
ENSMUSE00001435241	6	57203290	57214799	+	11510	0
ENSMUSE00001429140	6	57206512	57214799	+	8288	0
ENSMUSE00000471750	6	57209858	57210760	+	903	0
ENSMUSE00001430266	6	57231686	57240885	+	9200	0
ENSMUSE00000959151	6	57233439	57234350	+	912	0
ENSMUSE00001430401	6	57257952	57259972	+	2021	0
ENSMUSE00000955116	6	57278028	57278656	+	629	0
ENSMUSE00000962892	6	57312939	57313827	+	889	0
ENSMUSE00001434942	6	57403780	57406034	+	2255	0
ENSMUSE00001433480	6	57428930	57435261	+	6332	0
ENSMUSE00001429716	6	57431691	57432602	+	912	0
ENSMUSE00000954019	6	57476697	57497671	+	20975	4
ENSMUSE00001369710	6	57485121	57626030	+	140910	578
ENSMUSE00000358654	6	57581000	57664632	+	83633	779
ENSMUSE00001365069	6	57581008	57584590	+	3583	66
ENSMUSE00001367781	6	57604073	57626177	+	22105	435
ENSMUSE00001365717	6	57606511	57610888	+	4378	242
ENSMUSE00001367834	6	57607433	57618671	+	11239	276
ENSMUSE00001370075	6	57610826	57619928	+	9103	80
ENSMUSE00000477998	6	57702540	57739439	+	36900	184
ENSMUSE00000192862	6	57702636	57739438	+	36803	184
ENSMUSE00001367866	6	57845586	57848312	+	2727	7
ENSMUSE00000720195	6	58017506	58017943	+	438	9
ENSMUSE00000951179	6	58091076	58092247	+	1172	83
ENSMUSE00000951160	6	58135885	58136143	+	259	0
ENSMUSE00001369538	6	58192321	58194765	+	2445	0
ENSMUSE00000955969	6	58205685	58206925	+	1241	0
ENSMUSE00001433145	6	58262037	58275639	+	13603	1
ENSMUSE00001434025	6	58262382	58275639	+	13258	1
ENSMUSE00000560240	6	58265174	58266082	+	909	0
ENSMUSE00001432842	6	58301549	58311685	+	10137	0
ENSMUSE00000896738	6	58307268	58308290	+	1023	0
ENSMUSE00000962358	6	58394054	58394422	+	369	0
ENSMUSE00000946790	6	58461107	58461536	+	430	0
ENSMUSE00000958316	6	58512271	58512531	+	261	0
ENSMUSE00000981813	6	58584523	58664530	+	80008	144
ENSMUSE00000798719	6	58584527	58586560	+	2034	0
ENSMUSE00000734602	6	58595975	58655808	+	59834	129
ENSMUSE00001268424	6	58596671	58695676	+	99006	199
ENSMUSE00000727800	6	58640546	58664783	+	24238	29
ENSMUSE00000835883	6	58663409	58664746	+	1338	2
ENSMUSE00001237593	6	58674568	58692375	+	17808	32
ENSMUSE00000734926	6	58677621	58684637	+	7017	15
ENSMUSE00000812084	6	58831465	58843728	+	12264	589
ENSMUSE00000771556	6	58831503	58843714	+	12212	589
ENSMUSE00001364927	6	58831524	58843858	+	12335	597
ENSMUSE00000192944	6	58831748	58920398	+	88651	3450
ENSMUSE00000751261	6	58862829	58873745	+	10917	522
ENSMUSE00000735410	6	58871774	58873842	+	2069	70
ENSMUSE00001365662	6	58874343	58875042	+	700	41
ENSMUSE00000192968	6	58890095	58902551	+	12457	536
ENSMUSE00001364890	6	58901748	58904509	+	2762	78
ENSMUSE00000763112	6	58907262	58916823	+	9562	225
ENSMUSE00001368002	6	58964874	58972234	+	7361	2
ENSMUSE00000928394	6	58965655	59002083	+	36429	6
ENSMUSE00001369356	6	58973197	58975291	+	2095	1
ENSMUSE00001366304	6	59036889	59039322	+	2434	0
ENSMUSE00000359075	6	59208870	59212033	+	3164	98
ENSMUSE00001368554	6	59942351	59943308	+	958	0
ENSMUSE00000560600	6	60031967	60150045	+	118079	11
ENSMUSE00001330053	6	60082484	60086391	+	3908	0
ENSMUSE00001368109	6	60489956	60490445	+	490	0
ENSMUSE00001367657	6	60586778	60591189	+	4412	0
ENSMUSE00000698706	6	60924976	60946118	+	21143	1
ENSMUSE00000790080	6	60944476	60989378	+	44903	4
ENSMUSE00000772495	6	60944478	60989378	+	44901	4
ENSMUSE00000774865	6	61180324	62382865	+	1202542	138
ENSMUSE00000765668	6	61180537	61312977	+	132441	14
ENSMUSE00000421127	6	61180538	61312608	+	132071	14
ENSMUSE00000825006	6	61310855	62380267	+	1069413	125
ENSMUSE00000735153	6	61313801	61571006	+	257206	20
ENSMUSE00001295924	6	61319650	61570768	+	251119	20
ENSMUSE00001259143	6	61373997	61811718	+	437722	54
ENSMUSE00001296110	6	61374005	61718385	+	344381	34
ENSMUSE00001364841	6	61400607	61401030	+	424	0
ENSMUSE00001230814	6	61570670	61820582	+	249913	36
ENSMUSE00001368800	6	61785111	61820121	+	35011	1
ENSMUSE00000735910	6	61956689	62382865	+	426177	46
ENSMUSE00001365829	6	61975098	61977129	+	2032	0
ENSMUSE00001368398	6	62582070	62583201	+	1132	0
ENSMUSE00001365075	6	62630581	62630817	+	237	0
ENSMUSE00001368710	6	62756797	62757054	+	258	0
ENSMUSE00001366729	6	62820108	62820633	+	526	0
ENSMUSE00001367231	6	62929146	62929476	+	331	0
ENSMUSE00001368077	6	63160275	63160965	+	691	6
ENSMUSE00000863135	6	63255876	63314071	+	58196	10
ENSMUSE00000861160	6	63256006	64182477	+	926472	99
ENSMUSE00000850408	6	63256027	64668285	+	1412259	140
ENSMUSE00000857017	6	63256195	63504872	+	248678	24
ENSMUSE00001211504	6	63256826	64278792	+	1021967	103
ENSMUSE00000850681	6	64076792	64094748	+	17957	0
ENSMUSE00001365914	6	64092139	64092303	+	165	0
ENSMUSE00000521999	6	64413648	64413750	+	103	0
ENSMUSE00001383831	6	64663188	64704323	+	41136	2
ENSMUSE00000654346	6	64729125	64731245	+	2121	0
ENSMUSE00001364844	6	64978515	64979403	+	889	0
ENSMUSE00000814112	6	64990947	64991508	+	562	1
ENSMUSE00001366517	6	65042583	65056438	+	13856	176
ENSMUSE00000193833	6	65042609	65116061	+	73453	646
ENSMUSE00001365781	6	65042621	65043561	+	941	13
ENSMUSE00001368767	6	65042879	65081533	+	38655	367
ENSMUSE00000560296	6	65043213	65115598	+	72386	635
ENSMUSE00001368459	6	65052783	65074857	+	22075	193
ENSMUSE00001369490	6	65075023	65094190	+	19168	143
ENSMUSE00001366890	6	65077348	65080409	+	3062	10
ENSMUSE00001365679	6	65095692	65096334	+	643	10
ENSMUSE00001366244	6	65107453	65109978	+	2526	33
ENSMUSE00000895710	6	65128571	65129002	+	432	10
ENSMUSE00001365474	6	65150997	65151225	+	229	10
ENSMUSE00001366670	6	65169164	65169957	+	794	5
ENSMUSE00001364534	6	65247273	65247606	+	334	0
ENSMUSE00001369026	6	65328105	65329174	+	1070	0
ENSMUSE00001364633	6	65328225	65328942	+	718	0
ENSMUSE00000759059	6	65381105	65452965	+	71861	52
ENSMUSE00000193788	6	65381294	65458150	+	76857	52
ENSMUSE00001368730	6	65416020	65417622	+	1603	2
ENSMUSE00001370143	6	65432160	65433948	+	1789	32
ENSMUSE00001392581	6	65525313	65631786	+	106474	19
ENSMUSE00001393168	6	65525385	65631791	+	106407	19
ENSMUSE00000385418	6	65590398	65634040	+	43643	7
ENSMUSE00001370071	6	65590416	65600174	+	9759	4
ENSMUSE00000793791	6	65590428	65591661	+	1234	2
ENSMUSE00001367018	6	65590459	65593700	+	3242	2
ENSMUSE00001365259	6	65590487	65595113	+	4627	2
ENSMUSE00001367062	6	65597574	65600197	+	2624	0
ENSMUSE00000340893	6	65671590	65712326	+	40737	57
ENSMUSE00000890015	6	65701430	65703440	+	2011	2
ENSMUSE00000709528	6	65757936	65758322	+	387	0
ENSMUSE00000698616	6	65778988	65936376	+	157389	36
ENSMUSE00000193768	6	65779022	65936373	+	157352	36
ENSMUSE00001272365	6	65779022	65832930	+	53909	13
ENSMUSE00001302899	6	65779025	65936298	+	157274	36
ENSMUSE00001365894	6	65779094	65783261	+	4168	1
ENSMUSE00000876816	6	65882779	65883343	+	565	0
ENSMUSE00001365576	6	65935091	65937010	+	1920	0
ENSMUSE00000257085	6	65952609	65954014	+	1406	0
ENSMUSE00001367568	6	65995637	65996330	+	694	0
ENSMUSE00001365729	6	66254743	66258205	+	3463	2
ENSMUSE00001365040	6	66264155	66283739	+	19585	1
ENSMUSE00001369695	6	66272505	66284845	+	12341	1
ENSMUSE00001366478	6	66283507	66284239	+	733	0
ENSMUSE00001368889	6	66398746	66398971	+	226	0
ENSMUSE00001364538	6	66515893	66516541	+	649	0
ENSMUSE00001369013	6	66527014	66528928	+	1915	3
ENSMUSE00000698602	6	66535390	66547220	+	11831	83
ENSMUSE00000710044	6	66535425	66541020	+	5596	52
ENSMUSE00000193743	6	66535468	66540991	+	5524	52
ENSMUSE00000791369	6	66535678	66536073	+	396	7
ENSMUSE00001365642	6	66577210	66577969	+	760	0
ENSMUSE00001366408	6	66711691	66712147	+	457	2
ENSMUSE00000955168	6	66729382	66733039	+	3658	0
ENSMUSE00001429968	6	66729739	66733039	+	3301	0
ENSMUSE00000560239	6	66731392	66732300	+	909	0
ENSMUSE00001365445	6	66746017	66746326	+	310	1
ENSMUSE00000698591	6	66896397	67021350	+	124954	916
ENSMUSE00000698590	6	66896423	67019086	+	122664	912
ENSMUSE00000713672	6	67012485	67012871	+	387	4
ENSMUSE00001369933	6	67022177	67022471	+	295	4
ENSMUSE00000522212	6	67027043	67027176	+	134	0
ENSMUSE00000830267	6	67036599	67080654	+	44056	45
ENSMUSE00000810817	6	67036605	67063761	+	27157	31
ENSMUSE00000829590	6	67036655	67080139	+	43485	44
ENSMUSE00000777947	6	67076760	67080097	+	3338	6
ENSMUSE00001108518	6	67115673	67168426	+	52754	11
ENSMUSE00001173734	6	67115677	67117034	+	1358	1
ENSMUSE00001369407	6	67164924	67168110	+	3187	4
ENSMUSE00000553606	6	67165203	67165616	+	414	0
ENSMUSE00000713939	6	67205619	67206083	+	465	41
ENSMUSE00001364866	6	67238176	67271272	+	33097	441
ENSMUSE00001369189	6	67266624	67297736	+	31113	2605
ENSMUSE00000256657	6	67266983	67284311	+	17329	1570
ENSMUSE00001366126	6	67266988	67269354	+	2367	287
ENSMUSE00001365592	6	67267011	67274010	+	7000	803
ENSMUSE00001369111	6	67267011	67284047	+	17037	1545
ENSMUSE00001369941	6	67267016	67274605	+	7590	859
ENSMUSE00001365082	6	67267038	67277781	+	10744	1140
ENSMUSE00001366324	6	67267330	67281803	+	14474	1342
ENSMUSE00001366447	6	67271879	67281820	+	9942	976
ENSMUSE00001351589	6	67532489	67556204	+	23716	0
ENSMUSE00001353662	6	67555497	67556216	+	720	0
ENSMUSE00001356428	6	67594012	67594308	+	297	0
ENSMUSE00001060325	6	67609713	67610508	+	796	0
ENSMUSE00001068567	6	67724902	67725661	+	760	0
ENSMUSE00001357469	6	67754746	67754998	+	253	0
ENSMUSE00001092289	6	67759700	67760413	+	714	0
ENSMUSE00001066572	6	67791046	67791511	+	466	0
ENSMUSE00000975315	6	67839793	67840266	+	474	0
ENSMUSE00001356104	6	67847409	67847874	+	466	0
ENSMUSE00001355340	6	67861153	67861659	+	507	0
ENSMUSE00000663147	6	67861159	67861659	+	501	0
ENSMUSE00001350563	6	67876011	67876477	+	467	0
ENSMUSE00000998417	6	67896172	67896642	+	471	0
ENSMUSE00001044467	6	67913573	67914052	+	480	0
ENSMUSE00001025740	6	68016718	68017488	+	771	0
ENSMUSE00001352478	6	68036812	68037318	+	507	0
ENSMUSE00001031714	6	68036818	68037318	+	501	0
ENSMUSE00000970941	6	68049983	68050456	+	474	0
ENSMUSE00001350495	6	68056345	68056810	+	466	0
ENSMUSE00001346630	6	68066369	68066828	+	460	0
ENSMUSE00001348163	6	68082675	68083121	+	447	0
ENSMUSE00001346627	6	68100569	68100972	+	404	0
ENSMUSE00001356533	6	68105414	68105880	+	467	0
ENSMUSE00001066340	6	68121046	68121827	+	782	0
ENSMUSE00001349513	6	68147120	68147847	+	728	0
ENSMUSE00001356074	6	68151885	68152617	+	733	0
ENSMUSE00000698521	6	68161415	68161716	+	302	0
ENSMUSE00001356988	6	68164457	68164923	+	467	0
ENSMUSE00001350208	6	68178801	68179564	+	764	0
ENSMUSE00000663155	6	68219981	68220706	+	726	0
ENSMUSE00001352435	6	68256389	68256869	+	481	1
ENSMUSE00001038410	6	68270485	68271267	+	783	0
ENSMUSE00001351615	6	68297762	68298489	+	728	0
ENSMUSE00001082759	6	68302427	68303158	+	732	0
ENSMUSE00001347598	6	68312062	68312359	+	298	0
ENSMUSE00001354423	6	68326098	68326752	+	655	0
ENSMUSE00001355393	6	68339527	68339995	+	469	0
ENSMUSE00001351895	6	68348647	68349441	+	795	0
ENSMUSE00000663164	6	68425575	68426072	+	498	0
ENSMUSE00001352359	6	68437440	68437925	+	486	0
ENSMUSE00001352929	6	68474613	68475101	+	489	0
ENSMUSE00001356311	6	68479316	68479573	+	258	0
ENSMUSE00001009004	6	68519012	68519477	+	466	0
ENSMUSE00000664290	6	68532744	68532876	+	133	0
ENSMUSE00001349876	6	68541644	68542422	+	779	0
ENSMUSE00000663169	6	68541658	68542422	+	765	0
ENSMUSE00000983233	6	68570763	68571235	+	473	0
ENSMUSE00000663166	6	68591374	68591832	+	459	0
ENSMUSE00001349858	6	68671162	68671883	+	722	0
