# Program:featureCounts v1.5.2; Command:"featureCounts" "-T" "8" "-t" "exon" "-f" "-g" "ID" "-p" "-O" "-a" "/gpfs/group/pipkin/Exp337/codes/GRCm38_exon_rmdup_srt_cb_srt_dupr_r.gff" "-o" "337-6_r.txt" "/gpfs/group/pipkin/Exp337/srt_flt_bam/non_dupr/stranded_bam/337-6_pos_pSrt.bam" 
Geneid	Chr	Start	End	Strand	Length	/gpfs/group/pipkin/Exp337/srt_flt_bam/non_dupr/stranded_bam/337-6_pos_pSrt.bam
ENSMUSE00000679089	2	173093609	173119525	-	25917	11
ENSMUSE00000779216	2	173206612	173218923	-	12312	158
ENSMUSE00000263806	2	173206615	173218897	-	12283	158
ENSMUSE00001252048	2	173213735	173218910	-	5176	58
ENSMUSE00000638852	2	173224458	173276533	-	52076	5445
ENSMUSE00000263740	2	173228046	173276189	-	48144	5333
ENSMUSE00000843204	2	173228211	173234722	-	6512	419
ENSMUSE00000719007	2	173568666	173578365	-	9700	8
ENSMUSE00000170225	2	173568704	173578198	-	9495	8
ENSMUSE00000784278	2	173572387	173578273	-	5887	6
ENSMUSE00000744618	2	173579320	173659539	-	80220	561
ENSMUSE00000592088	2	173581199	173659368	-	78170	555
ENSMUSE00000592082	2	173585853	173591313	-	5461	34
ENSMUSE00000814571	2	173597133	173608818	-	11686	82
ENSMUSE00000749640	2	173597147	173659640	-	62494	431
ENSMUSE00000838161	2	173608480	173659504	-	51025	354
ENSMUSE00000811095	2	173615270	173659535	-	44266	328
ENSMUSE00001314285	2	173701030	173701148	-	119	0
ENSMUSE00000776918	2	173793437	173847670	-	54234	41
ENSMUSE00000712220	2	173920352	173920826	-	475	5
ENSMUSE00000708890	2	173984482	173984691	-	210	2
ENSMUSE00000710939	2	174046619	174047273	-	655	3
ENSMUSE00000737748	2	174125038	174183918	-	58881	29
ENSMUSE00000897260	2	174125560	174125888	-	329	1
ENSMUSE00000522746	2	174267047	174267125	-	79	3
ENSMUSE00000834129	2	174281237	174295436	-	14200	305
ENSMUSE00000814073	2	174282194	174295389	-	13196	281
ENSMUSE00000716134	2	174284353	174285435	-	1083	32
ENSMUSE00000170274	2	174427493	174439039	-	11547	263
ENSMUSE00000714972	2	174440929	174441289	-	361	0
ENSMUSE00000390028	2	174461072	174464105	-	3034	150
ENSMUSE00000807603	2	174461075	174464049	-	2975	147
ENSMUSE00000798845	2	174462516	174464089	-	1574	92
ENSMUSE00000784297	2	174465067	174473081	-	8015	543
ENSMUSE00000229409	2	174465585	174472934	-	7350	517
ENSMUSE00000359225	2	174469172	174472891	-	3720	313
ENSMUSE00000728655	2	174469381	174472931	-	3551	296
ENSMUSE00000705756	2	174484701	174485576	-	876	0
ENSMUSE00000822964	2	174835964	174838634	-	2671	1
ENSMUSE00000737118	2	174836091	174841174	-	5084	2
ENSMUSE00000822601	2	174838057	174841051	-	2995	2
ENSMUSE00000786067	2	174842305	174853357	-	11053	6
ENSMUSE00000738692	2	175023354	175023503	-	150	0
ENSMUSE00001025165	2	175061549	175067763	-	6215	9
ENSMUSE00000978952	2	175063306	175067781	-	4476	5
ENSMUSE00001059494	2	175104454	175110015	-	5562	19
ENSMUSE00001029575	2	175129493	175141999	-	12507	100
ENSMUSE00000678538	2	175130128	175131864	-	1737	32
ENSMUSE00000678908	2	175130128	175142012	-	11885	90
ENSMUSE00000678892	2	175166255	175175871	-	9617	10
ENSMUSE00000869536	2	175166255	175172317	-	6063	9
ENSMUSE00000972859	2	175191065	175206903	-	15839	120
ENSMUSE00001006735	2	175194914	175206917	-	12004	89
ENSMUSE00001031727	2	175196942	175206899	-	9958	68
ENSMUSE00000972874	2	175197674	175206876	-	9203	59
ENSMUSE00001081258	2	175228176	175231291	-	3116	0
ENSMUSE00000790466	2	175304097	175304333	-	237	2
ENSMUSE00000793630	2	175321955	175338197	-	16243	118
ENSMUSE00000988293	2	175324743	175327598	-	2856	25
ENSMUSE00001070961	2	175401664	175401954	-	291	0
ENSMUSE00000709652	2	175422300	175435807	-	13508	90
ENSMUSE00001246168	2	175422300	175432182	-	9883	72
ENSMUSE00001267720	2	175423893	175435782	-	11890	67
ENSMUSE00001091262	2	175424397	175435800	-	11404	64
ENSMUSE00000978437	2	175692223	175703646	-	11424	131
ENSMUSE00000788067	2	175789357	175801093	-	11737	79
ENSMUSE00000993677	2	175791243	175800961	-	9719	57
ENSMUSE00000979213	2	175804983	175805606	-	624	17
ENSMUSE00001004327	2	175918881	175931051	-	12171	131
ENSMUSE00001015555	2	175919361	175931100	-	11740	128
ENSMUSE00000819278	2	176116023	176117866	-	1844	5
ENSMUSE00001040848	2	176141591	176149825	-	8235	45
ENSMUSE00001028217	2	176144300	176144697	-	398	4
ENSMUSE00001030655	2	176317638	176319494	-	1857	0
ENSMUSE00000779675	2	176452627	176452840	-	214	2
ENSMUSE00001033765	2	176473278	176483160	-	9883	69
ENSMUSE00001029835	2	176474630	176486783	-	12154	60
ENSMUSE00001006454	2	176602206	176602496	-	291	0
ENSMUSE00001080201	2	176613364	176625630	-	12267	64
ENSMUSE00001083362	2	176622842	176636318	-	13477	63
ENSMUSE00000979720	2	176624194	176636344	-	12151	50
ENSMUSE00001060081	2	176754399	176757439	-	3041	1
ENSMUSE00000988790	2	176851851	176855548	-	3698	20
ENSMUSE00000783349	2	176892509	176927794	-	35286	201
ENSMUSE00001307653	2	176914050	176927809	-	13760	104
ENSMUSE00001297468	2	176915657	176927805	-	12149	84
ENSMUSE00001018812	2	176916769	176917518	-	750	14
ENSMUSE00001045424	2	176950908	176953323	-	2416	0
ENSMUSE00000714522	2	177053516	177056838	-	3323	19
ENSMUSE00001064043	2	177085356	177085802	-	447	0
ENSMUSE00000983094	2	177103564	177106488	-	2925	1
ENSMUSE00000713213	2	177125463	177127709	-	2247	1
ENSMUSE00001052655	2	177167290	177172870	-	5581	12
ENSMUSE00001018065	2	177183453	177195761	-	12309	135
ENSMUSE00000964213	2	177193357	177202829	-	9473	94
ENSMUSE00000971720	2	177194849	177206421	-	11573	92
ENSMUSE00000973395	2	177225473	177228963	-	3491	14
ENSMUSE00001025712	2	177264654	177267036	-	2383	4
ENSMUSE00001044845	2	177314520	177324307	-	9788	9
ENSMUSE00000986576	2	177387124	177394699	-	7576	19
ENSMUSE00001043642	2	177387901	177398320	-	10420	19
ENSMUSE00001221270	2	177388085	177398319	-	10235	19
ENSMUSE00001079504	2	177419902	177422936	-	3035	3
ENSMUSE00000710949	2	177541681	177542557	-	877	1
ENSMUSE00000747101	2	177569204	177578199	-	8996	9
ENSMUSE00001057341	2	177571227	177578210	-	6984	6
ENSMUSE00001025546	2	177831791	177840318	-	8528	134
ENSMUSE00001094114	2	177831791	177840336	-	8546	134
ENSMUSE00001013600	2	177852152	177855503	-	3352	9
ENSMUSE00000807807	2	177903340	177925604	-	22265	139
ENSMUSE00000990638	2	177919927	177925613	-	5687	38
ENSMUSE00000678548	2	177935993	177957288	-	21296	243
ENSMUSE00001057557	2	177945537	177957297	-	11761	146
ENSMUSE00001071439	2	177945537	177953684	-	8148	120
ENSMUSE00001036625	2	177980534	177982700	-	2167	4
ENSMUSE00001121295	2	178023808	178028736	-	4929	8
ENSMUSE00001059735	2	178067695	178078425	-	10731	74
ENSMUSE00001077375	2	178068476	178078455	-	9980	57
ENSMUSE00001090103	2	178068490	178078476	-	9987	57
ENSMUSE00000510008	2	178345293	178407685	-	62393	29
ENSMUSE00001044408	2	178346119	178374930	-	28812	16
ENSMUSE00001294809	2	178369390	178375270	-	5881	1
ENSMUSE00000510908	2	178395265	178407422	-	12158	4
ENSMUSE00000357164	2	178411206	178414472	-	3267	2
ENSMUSE00000710010	2	179020119	179021133	-	1015	0
ENSMUSE00000720197	2	179612622	179613567	-	946	0
ENSMUSE00001084613	2	179912152	179976646	-	64495	3243
ENSMUSE00000833566	2	179921228	179922208	-	981	30
ENSMUSE00000749827	2	179922004	179929355	-	7352	248
ENSMUSE00000774642	2	180036374	180042395	-	6022	496
ENSMUSE00001220243	2	180036374	180042433	-	6060	496
ENSMUSE00001446003	2	180036374	180042410	-	6037	496
ENSMUSE00000780193	2	180036819	180037488	-	670	54
ENSMUSE00000777676	2	180037634	180038821	-	1188	88
ENSMUSE00001302466	2	180038069	180040145	-	2077	192
ENSMUSE00000837170	2	180039296	180042385	-	3090	303
ENSMUSE00000362860	2	180099465	180104488	-	5024	3
ENSMUSE00001238528	2	180099651	180104151	-	4501	2
ENSMUSE00000906531	2	180100279	180104174	-	3896	2
ENSMUSE00000874801	2	180100984	180103335	-	2352	2
ENSMUSE00000790553	2	180176373	180179643	-	3271	3
ENSMUSE00000999688	2	180176373	180225859	-	49487	27
ENSMUSE00000776240	2	180176454	180177587	-	1134	0
ENSMUSE00000766735	2	180177168	180178403	-	1236	2
ENSMUSE00001315830	2	180179755	180179823	-	69	0
ENSMUSE00001244466	2	180258540	180273496	-	14957	751
ENSMUSE00000801131	2	180258543	180273463	-	14921	751
ENSMUSE00001303177	2	180260401	180261765	-	1365	76
ENSMUSE00001262033	2	180262132	180273496	-	11365	564
ENSMUSE00001309313	2	180262855	180273446	-	10592	524
ENSMUSE00000341070	2	180277646	180289879	-	12234	7
ENSMUSE00000462782	2	180325133	180334699	-	9567	12
ENSMUSE00000760523	2	180370491	180385885	-	15395	10
ENSMUSE00000391826	2	180621956	180642708	-	20753	15
ENSMUSE00000860107	2	180635254	180642589	-	7336	5
ENSMUSE00000773668	2	180637466	180642347	-	4882	3
ENSMUSE00000546158	2	180657964	180702350	-	44387	3274
ENSMUSE00000170674	2	180668288	180709999	-	41712	3011
ENSMUSE00000638590	2	180668290	180675955	-	7666	476
ENSMUSE00000841801	2	180766214	180775403	-	9190	7
ENSMUSE00000678332	2	180774381	180776900	-	2520	3
ENSMUSE00000944785	2	180818343	180824630	-	6288	3
ENSMUSE00000838690	2	180829490	180889660	-	60171	33
ENSMUSE00000441555	2	180904377	180920949	-	16573	916
ENSMUSE00000224003	2	180911768	180920387	-	8620	492
ENSMUSE00000170687	2	180934772	180954699	-	19928	11
ENSMUSE00000761056	2	180934772	180943077	-	8306	6
ENSMUSE00001250067	2	180937181	180954694	-	17514	10
ENSMUSE00000727593	2	180943164	180954319	-	11156	3
ENSMUSE00000678238	2	181018380	181039075	-	20696	11
ENSMUSE00000678236	2	181018381	181028328	-	9948	6
ENSMUSE00000222908	2	181022311	181043546	-	21236	9
ENSMUSE00000452084	2	181029425	181039225	-	9801	4
ENSMUSE00000661119	2	181075579	181135214	-	59636	34
ENSMUSE00000900509	2	181075579	181135300	-	59722	34
ENSMUSE00000893367	2	181080499	181114683	-	34185	16
ENSMUSE00000873020	2	181082403	181109756	-	27354	15
ENSMUSE00000796069	2	181082453	181095421	-	12969	6
ENSMUSE00001248096	2	181084582	181135177	-	50596	30
ENSMUSE00001350552	2	181096241	181135177	-	38937	26
ENSMUSE00000745716	2	181108444	181135243	-	26800	18
ENSMUSE00000928483	2	181147653	181157014	-	9362	5
ENSMUSE00000591103	2	181193721	181202789	-	9069	3
ENSMUSE00000398460	2	181205562	181213185	-	7624	7
ENSMUSE00001207618	2	181227615	181242027	-	14413	1179
ENSMUSE00000795413	2	181227616	181242025	-	14410	1179
ENSMUSE00000734654	2	181227622	181235754	-	8133	738
ENSMUSE00000770187	2	181251449	181288035	-	36587	1287
ENSMUSE00000221731	2	181253785	181278082	-	24298	869
ENSMUSE00001296528	2	181254775	181256131	-	1357	45
ENSMUSE00001227891	2	181255918	181288016	-	32099	1104
ENSMUSE00000764577	2	181265592	181288031	-	22440	795
ENSMUSE00001317766	2	181587900	181587968	-	69	10
ENSMUSE00001313923	3	3004130	3004229	-	100	0
ENSMUSE00001314006	3	3027658	3027757	-	100	0
ENSMUSE00001338520	3	3266277	3267027	-	751	3
ENSMUSE00001337519	3	4393870	4394299	-	430	0
ENSMUSE00000847797	3	4567203	4567335	-	133	0
ENSMUSE00001343909	3	4890266	4891231	-	966	29
ENSMUSE00000827237	3	5177586	5220823	-	43238	21
ENSMUSE00000845353	3	5178980	5220841	-	41862	21
ENSMUSE00000957090	3	5512995	5515333	-	2339	0
ENSMUSE00000313240	3	5560188	5576239	-	16052	256
ENSMUSE00001342004	3	5880832	5885503	-	4672	2
ENSMUSE00001342902	3	6137823	6138244	-	422	5
ENSMUSE00001346297	3	6164895	6167824	-	2930	72
ENSMUSE00001339659	3	6267783	6267900	-	118	0
ENSMUSE00000983230	3	6338882	6338991	-	110	0
ENSMUSE00001341834	3	6378332	6378601	-	270	1
ENSMUSE00001293134	3	6450607	6451588	-	982	0
ENSMUSE00001340666	3	6611205	6611463	-	259	0
ENSMUSE00000569619	3	6615418	6620443	-	5026	3
ENSMUSE00001343849	3	6751704	6752072	-	369	0
ENSMUSE00001344898	3	7192778	7193210	-	433	0
ENSMUSE00001339244	3	7418340	7418459	-	120	0
ENSMUSE00001345122	3	7569994	7613727	-	43734	12
ENSMUSE00000569606	3	7572028	7613760	-	41733	12
ENSMUSE00001338353	3	7573934	7613741	-	39808	11
ENSMUSE00001323702	3	7925303	7954889	-	29587	7
ENSMUSE00001335201	3	7925303	7954882	-	29580	7
ENSMUSE00001342626	3	8462228	8463035	-	808	12
ENSMUSE00001255295	3	8615275	8616504	-	1230	0
ENSMUSE00001338859	3	8663359	8667256	-	3898	2
ENSMUSE00000311743	3	8664699	8666984	-	2286	2
ENSMUSE00001338499	3	8664796	8666625	-	1830	1
ENSMUSE00001338249	3	8665542	8666964	-	1423	1
ENSMUSE00000846604	3	8679359	8679477	-	119	1
ENSMUSE00001340642	3	8732870	8736200	-	3331	1
ENSMUSE00001342313	3	8733065	8736360	-	3296	1
ENSMUSE00001345092	3	8743682	8746824	-	3143	0
ENSMUSE00000343275	3	8802146	8923918	-	121773	4132
ENSMUSE00000718836	3	8882238	8882570	-	333	41
ENSMUSE00000719154	3	8925593	9004723	-	79131	620
ENSMUSE00001268941	3	8928626	9004478	-	75853	606
ENSMUSE00000640154	3	8930892	8993890	-	62999	462
ENSMUSE00000755031	3	8947504	9004437	-	56934	467
ENSMUSE00000676577	3	8947566	9004478	-	56913	467
ENSMUSE00001343145	3	9047171	9047492	-	322	0
ENSMUSE00000348514	3	9427020	9610085	-	183066	153
ENSMUSE00000310517	3	9438292	9565299	-	127008	110
ENSMUSE00001336791	3	9438696	9441036	-	2341	1
ENSMUSE00000853705	3	9687479	9833679	-	146201	3191
ENSMUSE00000569539	3	9691898	9833630	-	141733	3114
ENSMUSE00000850484	3	9692767	9705002	-	12236	220
ENSMUSE00000676569	3	9752074	9833363	-	81290	1959
ENSMUSE00000569541	3	9827436	9833630	-	6195	256
ENSMUSE00001345349	3	9971188	9972001	-	814	0
ENSMUSE00001338057	3	10022311	10025539	-	3229	0
ENSMUSE00001342774	3	10089856	10089955	-	100	0
ENSMUSE00000170332	3	10179851	10183929	-	4079	2
ENSMUSE00001341373	3	10179852	10197262	-	17411	6
ENSMUSE00000438862	3	10193621	10197222	-	3602	1
ENSMUSE00000170328	3	10193623	10197283	-	3661	1
ENSMUSE00000374142	3	10204088	10208576	-	4489	6
ENSMUSE00001338064	3	10204328	10208558	-	4231	6
ENSMUSE00001337535	3	10220995	10223433	-	2439	5
ENSMUSE00000676549	3	10244209	10301183	-	56975	52
ENSMUSE00000170346	3	10245918	10301174	-	55257	51
ENSMUSE00000713538	3	10311956	10331439	-	19484	359
ENSMUSE00001259867	3	10314865	10331372	-	16508	291
ENSMUSE00001345654	3	10315118	10316652	-	1535	42
ENSMUSE00001344087	3	10321712	10335681	-	13970	149
ENSMUSE00000170356	3	10326182	10331132	-	4951	85
ENSMUSE00000474119	3	10331734	10335656	-	3923	3
ENSMUSE00000741589	3	10339953	10351317	-	11365	78
ENSMUSE00000763152	3	10339955	10344727	-	4773	24
ENSMUSE00001257696	3	10340619	10351313	-	10695	75
ENSMUSE00001317921	3	10340682	10351317	-	10636	75
ENSMUSE00001212180	3	10340817	10348625	-	7809	36
ENSMUSE00000832582	3	10344658	10346211	-	1554	7
ENSMUSE00001314465	3	10345932	10351314	-	5383	50
ENSMUSE00000808295	3	10350491	10351316	-	826	18
ENSMUSE00000895905	3	10417817	10440102	-	22286	193
ENSMUSE00000401362	3	10418146	10440100	-	21955	189
ENSMUSE00001339820	3	10753918	10754428	-	511	0
ENSMUSE00001345942	3	10772919	10774899	-	1981	0
ENSMUSE00001341112	3	11008850	11009603	-	754	0
ENSMUSE00000711513	3	11044170	11044358	-	189	0
ENSMUSE00001295946	3	11658497	11659510	-	1014	0
ENSMUSE00001342976	3	11823229	11844359	-	21131	4
ENSMUSE00001339862	3	12384243	12384609	-	367	1
ENSMUSE00001341019	3	12892451	12893414	-	964	0
ENSMUSE00001338119	3	13470439	13471829	-	1391	1
ENSMUSE00001172094	3	13471906	13474596	-	2691	2
ENSMUSE00001344609	3	13669509	13670145	-	637	3
ENSMUSE00001344831	3	13838875	13840231	-	1357	4
ENSMUSE00000722616	3	14029482	14029762	-	281	0
ENSMUSE00000847741	3	14267315	14267439	-	125	0
ENSMUSE00001343122	3	14383922	14384400	-	479	0
ENSMUSE00001304424	3	14428492	14435009	-	6518	2
ENSMUSE00001313257	3	14511084	14512095	-	1012	1
ENSMUSE00001335057	3	14606284	14611285	-	5002	275
ENSMUSE00000676463	3	14606289	14611221	-	4933	275
ENSMUSE00001331741	3	14606289	14611261	-	4973	275
ENSMUSE00001331842	3	14609184	14611243	-	2060	83
ENSMUSE00001342677	3	14628952	14629240	-	289	0
ENSMUSE00001192123	3	14766216	14808365	-	42150	12
ENSMUSE00000999836	3	14766217	14778459	-	12243	6
ENSMUSE00000829901	3	14770210	14808368	-	38159	10
ENSMUSE00001186811	3	14802356	14802574	-	219	0
ENSMUSE00001229869	3	14973569	14974552	-	984	0
ENSMUSE00001339005	3	15153065	15171442	-	18378	9
ENSMUSE00000676438	3	15296551	15332302	-	35752	13
ENSMUSE00001000686	3	15371653	15426422	-	54770	25
ENSMUSE00001044366	3	15371653	15426520	-	54868	25
ENSMUSE00001341561	3	15409619	15426483	-	16865	11
ENSMUSE00001370779	3	15411189	15426446	-	15258	11
ENSMUSE00001340169	3	15891466	15892555	-	1090	1
ENSMUSE00001340375	3	15941773	15942833	-	1061	2
ENSMUSE00001339552	3	15946870	16006437	-	59568	41
ENSMUSE00000985212	3	15948070	16006332	-	58263	39
ENSMUSE00001337405	3	16078150	16078324	-	175	0
ENSMUSE00000847154	3	16823249	16823312	-	64	1
ENSMUSE00001008165	3	17230642	17230975	-	334	1
ENSMUSE00000847051	3	17251301	17251444	-	144	0
ENSMUSE00001338386	3	17328694	17334425	-	5732	0
ENSMUSE00000846403	3	17803621	17803747	-	127	0
ENSMUSE00000405449	3	18071950	18243338	-	171389	70
ENSMUSE00001017721	3	18177462	18177625	-	164	1
ENSMUSE00001344800	3	18341667	18461254	-	119588	66
ENSMUSE00001340181	3	18468287	18480477	-	12191	11
ENSMUSE00001336379	3	18609808	18610831	-	1024	1
ENSMUSE00000304379	3	19131402	19163065	-	31664	568
ENSMUSE00001336784	3	19143188	19143899	-	712	22
ENSMUSE00000831062	3	19223108	19311322	-	88215	4581
ENSMUSE00001207045	3	19224682	19311052	-	86371	4487
ENSMUSE00000743004	3	19227385	19230028	-	2644	198
ENSMUSE00001271214	3	19227722	19233529	-	5808	295
ENSMUSE00000569365	3	19230289	19260241	-	29953	1432
ENSMUSE00001264631	3	19230361	19236497	-	6137	269
ENSMUSE00000746811	3	19256694	19311304	-	54611	2719
ENSMUSE00001216919	3	19256792	19310903	-	54112	2715
ENSMUSE00000720606	3	19610368	19628677	-	18310	25
ENSMUSE00000430843	3	19693401	19695396	-	1996	1
ENSMUSE00001342831	3	19708270	19709320	-	1051	0
ENSMUSE00000743800	3	19995945	20035315	-	39371	1087
ENSMUSE00000733113	3	19995951	20035280	-	39330	1086
ENSMUSE00001244912	3	19996164	20014124	-	17961	400
ENSMUSE00001296790	3	19996167	20035302	-	39136	1086
ENSMUSE00001308433	3	20011228	20035302	-	24075	812
ENSMUSE00001275786	3	20012523	20035302	-	22780	765
ENSMUSE00001222949	3	20034828	20035302	-	475	20
ENSMUSE00000713388	3	20122084	20155317	-	33234	299
ENSMUSE00000302588	3	20122087	20155096	-	33010	298
ENSMUSE00000829308	3	20122556	20123543	-	988	10
ENSMUSE00000302346	3	20215620	20242181	-	26562	10
ENSMUSE00001336674	3	20228808	20240747	-	11940	4
ENSMUSE00000305764	3	20248264	20275733	-	27470	13
ENSMUSE00000786330	3	20249626	20252322	-	2697	4
ENSMUSE00000743579	3	20264189	20266443	-	2255	2
ENSMUSE00000458552	3	20314473	20367177	-	52705	20
ENSMUSE00000875339	3	20314897	20367124	-	52228	20
ENSMUSE00001339687	3	20391013	20391985	-	973	0
ENSMUSE00001340571	3	20503098	20506208	-	3111	1
ENSMUSE00001343713	3	20782470	20784063	-	1594	0
ENSMUSE00001348936	3	21113583	21114003	-	421	0
ENSMUSE00001325796	3	21268372	21269090	-	719	0
ENSMUSE00001337476	3	21753529	21800773	-	47245	17
ENSMUSE00001341152	3	21753608	21762531	-	8924	4
ENSMUSE00001344717	3	21753798	21753962	-	165	0
ENSMUSE00001347069	3	21997678	21998468	-	791	0
ENSMUSE00001348963	3	22074412	22076142	-	1731	18
ENSMUSE00001340671	3	22080494	22081115	-	622	3
ENSMUSE00001337883	3	22285081	22297830	-	12750	9
ENSMUSE00001341909	3	22348862	22349612	-	751	0
ENSMUSE00001346384	3	23374942	23375317	-	376	0
ENSMUSE00001364781	3	23798102	24783622	-	985521	431
ENSMUSE00001345506	3	23804335	23939477	-	135143	67
ENSMUSE00001343021	3	23804985	23972185	-	167201	79
ENSMUSE00001365648	3	24551210	25144261	-	593052	246
ENSMUSE00001351202	3	25007423	25007705	-	283	1
ENSMUSE00001339543	3	25184800	25184979	-	180	0
ENSMUSE00000569234	3	25211016	25212605	-	1590	19
ENSMUSE00001342076	3	25426215	26332460	-	906246	387
ENSMUSE00000479531	3	25431811	26133734	-	701924	288
ENSMUSE00001337858	3	25433431	26153307	-	719877	303
ENSMUSE00001342965	3	25695195	25700303	-	5109	6
ENSMUSE00001337964	3	26131670	26331870	-	200201	98
ENSMUSE00000707620	3	26626185	26626311	-	127	1
ENSMUSE00001342946	3	27046789	27047953	-	1165	3
ENSMUSE00000676241	3	27097222	27153861	-	56640	96
ENSMUSE00001283228	3	27097222	27153878	-	56657	96
ENSMUSE00001232065	3	27098306	27117807	-	19502	31
ENSMUSE00000946471	3	27117852	27122692	-	4841	9
ENSMUSE00001269122	3	27121878	27153812	-	31935	54
ENSMUSE00000732504	3	27131463	27137136	-	5674	14
ENSMUSE00001251996	3	27144950	27147201	-	2252	3
ENSMUSE00001349112	3	27308406	27308674	-	269	0
ENSMUSE00000413663	3	27416162	27711239	-	295078	1920
ENSMUSE00001341282	3	27416162	27710398	-	294237	1916
ENSMUSE00001339992	3	27494432	27711307	-	216876	1521
ENSMUSE00000945602	3	27584900	27584995	-	96	1
ENSMUSE00000394618	3	27866066	27896368	-	30303	12
ENSMUSE00000898671	3	28702667	28781108	-	78442	76
ENSMUSE00001336485	3	28738789	28742240	-	3452	3
ENSMUSE00000643460	3	28764713	28765360	-	648	12
ENSMUSE00001337921	3	28802804	28805336	-	2533	3
ENSMUSE00001339742	3	28807205	28813985	-	6781	3
ENSMUSE00001342996	3	28852033	28854257	-	2225	3
ENSMUSE00001343324	3	29773466	29893177	-	119712	59
ENSMUSE00000929013	3	29951296	30013156	-	61861	16
ENSMUSE00001218286	3	29951299	30548008	-	596710	273
ENSMUSE00001214312	3	29951307	30509822	-	558516	259
ENSMUSE00001264297	3	29997729	30011439	-	13711	4
ENSMUSE00000940865	3	30014974	30509733	-	494760	242
ENSMUSE00001342229	3	30160253	30161886	-	1634	1
ENSMUSE00001336731	3	30225573	30227694	-	2122	0
ENSMUSE00001339548	3	30235443	30237960	-	2518	3
ENSMUSE00001254455	3	30236569	30509487	-	272919	144
ENSMUSE00000975819	3	30237972	30238319	-	348	1
ENSMUSE00000569103	3	30267825	30269947	-	2123	0
ENSMUSE00001345406	3	30272322	30274385	-	2064	3
ENSMUSE00001343378	3	30501719	30503813	-	2095	1
ENSMUSE00001337461	3	30552697	30564243	-	11547	9
ENSMUSE00001336685	3	30561658	30562129	-	472	1
ENSMUSE00001342836	3	30594844	30595733	-	890	0
ENSMUSE00000522586	3	30595346	30595757	-	412	0
ENSMUSE00000351536	3	30597073	30599939	-	2867	2
ENSMUSE00000274273	3	30624267	30647869	-	23603	7
ENSMUSE00001339395	3	30679058	30699830	-	20773	8
ENSMUSE00000676156	3	30682680	30699843	-	17164	5
ENSMUSE00001339485	3	30697947	30699768	-	1822	0
ENSMUSE00000800949	3	30698122	30699810	-	1689	0
ENSMUSE00001333347	3	30792570	30793564	-	995	1
ENSMUSE00001185775	3	30793138	30793560	-	423	0
ENSMUSE00001343444	3	30828565	30828832	-	268	0
ENSMUSE00000358744	3	30899371	30969401	-	70031	2008
ENSMUSE00000273694	3	30899524	30969415	-	69892	2005
ENSMUSE00001239178	3	30906784	30969405	-	62622	1658
ENSMUSE00001217613	3	30921023	30933111	-	12089	265
ENSMUSE00001342241	3	30957329	30957638	-	310	10
ENSMUSE00001222320	3	30958387	30965935	-	7549	152
ENSMUSE00000569043	3	31202858	31310378	-	107521	44
ENSMUSE00000569042	3	31222720	31258394	-	35675	16
ENSMUSE00001338738	3	31644796	31687842	-	43047	22
ENSMUSE00001341190	3	31673621	31690585	-	16965	8
ENSMUSE00001344042	3	31684477	31690585	-	6109	2
ENSMUSE00000676063	3	32334792	32365678	-	30887	707
ENSMUSE00000273004	3	32334796	32365620	-	30825	707
ENSMUSE00000833776	3	32361072	32365460	-	4389	112
ENSMUSE00001338742	3	32362202	32366014	-	3813	79
ENSMUSE00001338274	3	32371578	32372989	-	1412	0
ENSMUSE00000911345	3	32471588	32492231	-	20644	4
ENSMUSE00001340091	3	32511803	32512344	-	542	0
ENSMUSE00000421062	3	32580332	32616585	-	36254	56
ENSMUSE00000738229	3	32583998	32616525	-	32528	48
ENSMUSE00001248348	3	32583998	32616522	-	32525	48
ENSMUSE00001249995	3	32587706	32598178	-	10473	18
ENSMUSE00000756139	3	32599844	32616529	-	16686	22
ENSMUSE00001338913	3	32721777	32722089	-	313	0
ENSMUSE00000403108	3	32725397	32737147	-	11751	230
ENSMUSE00001255453	3	32727575	32732613	-	5039	125
ENSMUSE00001341262	3	32736101	32737605	-	1505	7
ENSMUSE00000710072	3	32880011	32880608	-	598	2
ENSMUSE00001336565	3	32949408	33083060	-	133653	67
ENSMUSE00001344103	3	32949408	33083035	-	133628	67
ENSMUSE00001338501	3	32949954	33143082	-	193129	95
ENSMUSE00000592831	3	32950630	32985079	-	34450	12
ENSMUSE00000675978	3	32954337	33143247	-	188911	93
ENSMUSE00001337639	3	33034228	33037054	-	2827	1
ENSMUSE00001343912	3	33073919	33076356	-	2438	3
ENSMUSE00000764297	3	33131566	33143076	-	11511	10
ENSMUSE00001341815	3	33139970	33143183	-	3214	0
ENSMUSE00001316866	3	33260716	33260820	-	105	0
ENSMUSE00000846770	3	33393057	33393199	-	143	1
ENSMUSE00001341183	3	33393382	33394847	-	1466	0
ENSMUSE00001357123	3	33684508	33684865	-	358	1
ENSMUSE00001356536	3	33703355	33759616	-	56262	25
ENSMUSE00001355074	3	33812362	33844301	-	31940	19
ENSMUSE00001352904	3	33813054	33814551	-	1498	1
ENSMUSE00001350592	3	33818648	33844301	-	25654	13
ENSMUSE00001348100	3	33820187	33844310	-	24124	12
ENSMUSE00001355863	3	33824586	33826540	-	1955	0
ENSMUSE00001351792	3	33866813	33897584	-	30772	21
ENSMUSE00001347294	3	33870974	33871939	-	966	1
