seqnames,start,end,width,strand,Conc,Conc_STAT5B_noIL2,Conc_STAT5B_IL2,Fold
14,53174845,53175412,568,*,3.76,1.78,4.56,-2.78
6,99432805,99433322,518,*,4.23,2.78,4.93,-2.16
3,30965803,30966378,576,*,4.82,3.78,5.42,-1.64
6,71638281,71638857,577,*,3.74,1.78,4.54,-2.76
18,4366688,4367017,330,*,3.72,1.78,4.52,-2.74
8,84826637,84826784,148,*,2.98,3.78,1.03,2.75
7,98564787,98565154,368,*,4.19,2.78,4.89,-2.11
14,31433313,31433705,393,*,3.69,1.78,4.49,-2.71
15,5517827,5518239,413,*,3.69,1.78,4.49,-2.71
1,153320233,153320691,459,*,3.68,1.78,4.47,-2.69
10,54009364,54009884,521,*,3.68,1.78,4.47,-2.69
10,95255125,95255677,553,*,3.68,1.78,4.47,-2.69
16,10724901,10725449,549,*,3.68,1.78,4.47,-2.69
18,32990471,32990977,507,*,3.68,1.78,4.47,-2.69
2,11629691,11629999,309,*,3.68,1.78,4.47,-2.69
5,105263107,105263605,499,*,4.17,2.78,4.86,-2.08
2,38471829,38472158,330,*,4.15,2.78,4.84,-2.06
7,98059935,98060187,253,*,4.18,4.78,3.13,1.65
1,46732478,46732725,248,*,1.84,2.78,-1.78,4.56
1,73853453,73853600,148,*,1.84,2.78,-1.78,4.56
GL456383.1,1981,2221,241,*,1.84,2.78,-1.78,4.56
GL456389.1,17332,17666,335,*,1.84,2.78,-1.78,4.56
12,26057581,26057977,397,*,3.64,1.78,4.43,-2.65
19,34587951,34588410,460,*,3.64,1.78,4.43,-2.65
4,44963038,44963512,475,*,3.64,1.78,4.43,-2.65
5,3151862,3152284,423,*,3.64,1.78,4.43,-2.65
1,165701182,165701377,196,*,3.69,4.36,2.39,1.97
4,3090067,3090611,545,*,3.69,4.36,2.39,1.97
2,11655111,11655521,411,*,4.75,3.78,5.33,-1.55
6,129660074,129660697,624,*,4.75,3.78,5.33,-1.55
11,3128643,3128852,210,*,4.38,4.95,3.43,1.52
13,115742182,115742427,246,*,3.01,3.78,1.22,2.56
19,32822993,32823189,197,*,3.01,3.78,1.22,2.56
2,64310367,64310514,148,*,3.01,3.78,1.22,2.56
2,181917926,181918073,148,*,3.01,3.78,1.22,2.56
4,106839052,106839241,190,*,3.01,3.78,1.22,2.56
GL456390.1,15243,15403,161,*,3.01,3.78,1.22,2.56
13,110960255,110960569,315,*,3.63,1.78,4.41,-2.63
3,60045119,60045349,231,*,2.52,3.36,0.22,3.14
11,4236456,4236900,445,*,3.61,1.78,4.39,-2.61
2,3657451,3657993,543,*,3.61,1.78,4.39,-2.61
9,120001898,120002311,414,*,3.61,1.78,4.39,-2.61
13,104625032,104625467,436,*,3.59,1.78,4.37,-2.59
8,125092562,125093012,451,*,3.59,1.78,4.37,-2.59
14,25161962,25162385,424,*,4.1,2.78,4.78,-2
14,52957272,52957852,581,*,4.1,2.78,4.78,-2
12,51847845,51848273,429,*,4.95,4.1,5.48,-1.38
1,128611813,128612170,358,*,3.57,1.78,4.35,-2.57
1,155472573,155473042,470,*,3.57,1.78,4.35,-2.57
15,62818307,62818700,394,*,3.57,1.78,4.35,-2.57
5,23365239,23365484,246,*,3.41,4.1,2.03,2.07
9,56567216,56567473,258,*,3.41,4.1,2.03,2.07
1,60880123,60880594,472,*,3.56,1.78,4.33,-2.55
1,175631610,175632048,439,*,3.56,1.78,4.33,-2.55
15,9562551,9562954,404,*,3.56,1.78,4.33,-2.55
15,62189715,62190119,405,*,3.56,1.78,4.33,-2.55
3,104771296,104771776,481,*,3.56,1.78,4.33,-2.55
7,45136010,45136403,394,*,3.56,1.78,4.33,-2.55
13,23593036,23593547,512,*,4.07,2.78,4.74,-1.96
13,58768330,58768488,159,*,3.03,3.78,1.39,2.39
7,92134448,92134621,174,*,3.03,3.78,1.39,2.39
2,170157755,170158216,462,*,3.54,1.78,4.31,-2.53
4,9026356,9026729,374,*,3.54,1.78,4.31,-2.53
5,3463114,3463425,312,*,3.54,1.78,4.31,-2.53
1,36296720,36297145,426,*,4.7,3.78,5.25,-1.47
1,106600775,106601188,414,*,3.52,1.78,4.29,-2.51
1,144306974,144307557,584,*,3.52,1.78,4.29,-2.51
10,128303424,128303897,474,*,3.52,1.78,4.29,-2.51
11,109758686,109759079,394,*,3.52,1.78,4.29,-2.51
2,122679965,122680398,434,*,3.52,1.78,4.29,-2.51
4,28176849,28177087,239,*,2.56,3.36,0.54,2.82
1,131080643,131081021,379,*,3.5,1.78,4.26,-2.49
15,62824010,62824420,411,*,3.5,1.78,4.26,-2.49
2,62331889,62332250,362,*,3.5,1.78,4.26,-2.49
2,101810880,101811279,400,*,3.5,1.78,4.26,-2.49
1,21333756,21333935,180,*,3.43,4.1,2.13,1.97
5,89536106,89536332,227,*,3.43,4.1,2.13,1.97
18,70530430,70530881,452,*,4.39,3.36,4.99,-1.62
16,10639235,10639666,432,*,4.9,4.1,5.41,-1.31
16,45038668,45039040,373,*,4.02,2.78,4.68,-1.9
10,108118654,108119190,537,*,3.48,1.78,4.24,-2.46
10,14664086,14664233,148,*,3.06,3.78,1.54,2.24
6,98015914,98016091,178,*,3.06,3.78,1.54,2.24
7,120634753,120635011,259,*,3.06,3.78,1.54,2.24
8,104299274,104299442,169,*,3.06,3.78,1.54,2.24
4,145341912,145342509,598,*,4.37,3.36,4.96,-1.6
7,75572271,75572736,466,*,4.37,3.36,4.96,-1.6
1,106515672,106516008,337,*,3.46,1.78,4.22,-2.44
5,53402808,53403133,326,*,3.46,1.78,4.22,-2.44
CHR_MG3836_PATCH,122691410,122691841,432,*,3.46,1.78,4.22,-2.44
17,52162319,52162938,620,*,4.36,3.36,4.95,-1.58
11,118225900,118226420,521,*,3.45,1.78,4.2,-2.42
3,101273010,101273297,288,*,3.45,1.78,4.2,-2.42
5,31732581,31733081,501,*,3.45,1.78,4.2,-2.42
7,68271847,68272255,409,*,3.45,1.78,4.2,-2.42
9,32915711,32915984,274,*,3.45,1.78,4.2,-2.42
1,162548517,162548851,335,*,3.45,4.1,2.22,1.88
CHR_MG3496_PATCH,22524676,22524914,239,*,1.9,2.78,-0.78,3.56
13,36802348,36802626,279,*,3.43,1.78,4.17,-2.4
16,57585093,57585610,518,*,3.43,1.78,4.17,-2.4
3,133389211,133389522,312,*,3.43,1.78,4.17,-2.4
9,77955578,77955911,334,*,3.43,1.78,4.17,-2.4
17,3079658,3079881,224,*,4.25,4.78,3.39,1.39
1,37544183,37544689,507,*,3.97,2.78,4.61,-1.83
8,15018790,15019417,628,*,3.97,2.78,4.61,-1.83
4,35130612,35130761,150,*,2.59,3.36,0.81,2.56
11,4501860,4502217,358,*,3.41,1.78,4.15,-2.37
11,53655183,53655480,298,*,3.41,1.78,4.15,-2.37
11,119133731,119134079,349,*,3.41,1.78,4.15,-2.37
12,85382860,85383270,411,*,3.41,1.78,4.15,-2.37
3,104819841,104820289,449,*,3.41,1.78,4.15,-2.37
4,32291278,32291772,495,*,3.41,1.78,4.15,-2.37
9,66616698,66617221,524,*,3.41,1.78,4.15,-2.37
16,11052205,11052373,169,*,3.08,3.78,1.68,2.1
2,3964436,3964617,182,*,3.08,3.78,1.68,2.1
7,4694838,4695027,190,*,3.08,3.78,1.68,2.1
GL456393.1,6962,7152,191,*,3.08,3.78,1.68,2.1
6,17065808,17066297,490,*,3.96,2.78,4.6,-1.82
Y,20671840,20672077,238,*,3.47,4.1,2.31,1.79
16,55949019,55949400,382,*,3.39,1.78,4.13,-2.35
17,80112537,80113029,493,*,3.39,1.78,4.13,-2.35
X,7865373,7865704,332,*,3.39,1.78,4.13,-2.35
1,182108723,182109149,427,*,3.94,2.78,4.58,-1.8
11,54464705,54465176,472,*,3.37,1.78,4.1,-2.32
14,53649904,53650364,461,*,3.37,1.78,4.1,-2.32
2,140042145,140042451,307,*,3.37,1.78,4.1,-2.32
3,35754708,35755048,341,*,3.37,1.78,4.1,-2.32
4,11419767,11420120,354,*,3.37,1.78,4.1,-2.32
6,35133894,35134225,332,*,3.37,1.78,4.1,-2.32
4,119753259,119753675,417,*,3.79,4.36,2.81,1.56
7,58475129,58475471,343,*,3.92,2.78,4.54,-1.76
10,66930608,66930966,359,*,3.35,1.78,4.08,-2.3
15,62809222,62809628,407,*,3.35,1.78,4.08,-2.3
16,38755698,38756308,611,*,3.35,1.78,4.08,-2.3
5,21419337,21419663,327,*,3.35,1.78,4.08,-2.3
9,59308425,59308864,440,*,3.35,1.78,4.08,-2.3
5,53566559,53567015,457,*,4.59,3.78,5.1,-1.32
16,89848886,89849067,182,*,3.11,3.78,1.81,1.97
17,31875528,31875701,174,*,3.11,3.78,1.81,1.97
10,111031545,111031760,216,*,3.49,4.1,2.39,1.71
13,5714920,5715368,449,*,3.9,2.78,4.52,-1.74
3,89864217,89864673,457,*,3.9,2.78,4.52,-1.74
1,106612593,106613057,465,*,4.58,3.78,5.09,-1.31
15,25884279,25884772,494,*,3.32,1.78,4.05,-2.27
6,144670315,144671027,713,*,3.32,1.78,4.05,-2.27
7,73572629,73573276,648,*,3.32,1.78,4.05,-2.27
13,37793033,37793204,172,*,2.63,3.36,1.03,2.34
15,76468256,76468431,176,*,2.63,3.36,1.03,2.34
3,94309999,94310157,159,*,2.63,3.36,1.03,2.34
5,44181857,44182004,148,*,2.63,3.36,1.03,2.34
1,64101366,64101657,292,*,3.89,2.78,4.51,-1.73
1,93391637,93392130,494,*,3.3,1.78,4.03,-2.25
15,5432105,5432456,352,*,3.3,1.78,4.03,-2.25
9,63275157,63275476,320,*,3.3,1.78,4.03,-2.25
12,92891834,92892389,556,*,5,4.36,5.44,-1.08
18,41979541,41979905,365,*,3.28,1.78,4,-2.22
9,14737588,14737972,385,*,3.28,1.78,4,-2.22
X,106622620,106623034,415,*,3.28,1.78,4,-2.22
4,129034939,129035348,410,*,5.17,4.59,5.59,-1
2,11620238,11620519,282,*,3.86,2.78,4.47,-1.69
17,29171175,29171389,215,*,3.13,3.78,1.92,1.86
2,92168023,92168268,246,*,1.95,2.78,-0.19,2.97
5,134939132,134939279,148,*,1.95,2.78,-0.19,2.97
1,58896017,58896347,331,*,3.26,1.78,3.98,-2.2
1,164136694,164137006,313,*,3.26,1.78,3.98,-2.2
10,122800521,122801051,531,*,3.26,1.78,3.98,-2.2
16,24629276,24629613,338,*,3.26,1.78,3.98,-2.2
16,49775539,49775881,343,*,3.26,1.78,3.98,-2.2
16,78236985,78237244,260,*,3.26,1.78,3.98,-2.2
17,52151347,52151639,293,*,3.26,1.78,3.98,-2.2
8,25601145,25601519,375,*,3.26,1.78,3.98,-2.2
11,52919707,52920129,423,*,3.84,2.78,4.45,-1.67
11,83639293,83639599,307,*,3.24,1.78,3.95,-2.17
13,41381475,41381857,383,*,3.24,1.78,3.95,-2.17
17,78271444,78271764,321,*,3.24,1.78,3.95,-2.17
2,75891968,75892311,344,*,3.24,1.78,3.95,-2.17
7,98562977,98563224,248,*,3.24,1.78,3.95,-2.17
8,90871595,90872076,482,*,3.24,1.78,3.95,-2.17
9,45268132,45268430,299,*,3.24,1.78,3.95,-2.17
9,48480724,48481140,417,*,3.24,1.78,3.95,-2.17
CHR_MMCHR1_CHORI29_IDD5_1,60975145,60975589,445,*,3.24,1.78,3.95,-2.17
2,11169975,11170319,345,*,3.83,2.78,4.43,-1.65
11,57978293,57978440,148,*,2.66,3.36,1.22,2.14
13,27206065,27206212,148,*,2.66,3.36,1.22,2.14
15,19068015,19068162,148,*,2.66,3.36,1.22,2.14
8,105718875,105719033,159,*,2.66,3.36,1.22,2.14
1,69554368,69554740,373,*,3.22,1.78,3.92,-2.14
1,177456902,177457296,395,*,3.22,1.78,3.92,-2.14
2,117342884,117343237,354,*,3.22,1.78,3.92,-2.14
7,90067928,90068228,301,*,3.22,1.78,3.92,-2.14
7,119854848,119855166,319,*,3.22,1.78,3.92,-2.14
9,124068775,124069233,459,*,3.22,1.78,3.92,-2.14
6,59313078,59313827,750,*,5.44,4.95,5.81,-0.86
5,105306117,105306500,384,*,3.81,2.78,4.41,-1.63
14,60129570,60129792,223,*,3.15,3.78,2.03,1.75
16,15642707,15642953,247,*,3.15,3.78,2.03,1.75
17,7036389,7036588,200,*,3.15,3.78,2.03,1.75
6,30507543,30507750,208,*,3.15,3.78,2.03,1.75
7,55510792,55511031,240,*,3.15,3.78,2.03,1.75
10,98745534,98745964,431,*,4.2,3.36,4.73,-1.36
5,105145719,105146039,321,*,3.8,2.78,4.39,-1.61
1,189816370,189816809,440,*,3.19,1.78,3.89,-2.11
10,30716150,30716588,439,*,3.19,1.78,3.89,-2.11
15,94214058,94214465,408,*,3.19,1.78,3.89,-2.11
16,44965541,44965868,328,*,3.19,1.78,3.89,-2.11
2,11218167,11218430,264,*,3.19,1.78,3.89,-2.11
2,11641348,11641676,329,*,3.19,1.78,3.89,-2.11
5,125406058,125406401,344,*,3.19,1.78,3.89,-2.11
6,129544939,129545369,431,*,3.19,1.78,3.89,-2.11
8,35428607,35429155,549,*,3.19,1.78,3.89,-2.11
8,72351036,72351530,495,*,3.19,1.78,3.89,-2.11
1,191123890,191124420,531,*,3.78,2.78,4.37,-1.59
1,60941672,60942027,356,*,3.17,1.78,3.86,-2.08
12,107146976,107147457,482,*,3.17,1.78,3.86,-2.08
3,59221982,59222545,564,*,3.17,1.78,3.86,-2.08
4,147848685,147849183,499,*,3.17,1.78,3.86,-2.08
4,149756991,149757360,370,*,3.17,1.78,3.86,-2.08
6,31159019,31159464,446,*,3.17,1.78,3.86,-2.08
14,53268417,53268956,540,*,4.18,3.36,4.7,-1.33
12,99326154,99326554,401,*,3.15,1.78,3.84,-2.06
15,78502513,78503090,578,*,3.15,1.78,3.84,-2.06
15,103152927,103153337,411,*,3.15,1.78,3.84,-2.06
18,54921418,54921837,420,*,3.15,1.78,3.84,-2.06
2,38536336,38536678,343,*,3.15,1.78,3.84,-2.06
5,142932044,142932371,328,*,3.15,1.78,3.84,-2.06
7,75486068,75486437,370,*,3.15,1.78,3.84,-2.06
7,101551096,101551630,535,*,3.15,1.78,3.84,-2.06
8,116689798,116690189,392,*,3.15,1.78,3.84,-2.06
11,32013757,32013962,206,*,3.18,3.78,2.13,1.65
18,14514518,14514726,209,*,3.18,3.78,2.13,1.65
2,124741052,124741290,239,*,3.18,3.78,2.13,1.65
9,70806079,70806324,246,*,3.18,3.78,2.13,1.65
10,21158691,21158845,155,*,2.69,3.36,1.39,1.97
13,96968753,96968922,170,*,2.69,3.36,1.39,1.97
15,31601890,31602071,182,*,2.69,3.36,1.39,1.97
15,93827101,93827248,148,*,2.69,3.36,1.39,1.97
2,68516556,68516707,152,*,2.69,3.36,1.39,1.97
6,59875644,59875791,148,*,2.69,3.36,1.39,1.97
6,83512544,83512718,175,*,2.69,3.36,1.39,1.97
9,41105301,41105516,216,*,2.69,3.36,1.39,1.97
4,46575256,46575724,469,*,5.41,4.95,5.76,-0.81
13,33001292,33001557,266,*,3.56,4.1,2.68,1.42
9,103503802,103504093,292,*,3.56,4.1,2.68,1.42
10,24673004,24673427,424,*,3.12,1.78,3.81,-2.03
10,68137110,68137466,357,*,3.12,1.78,3.81,-2.03
11,4336625,4336948,324,*,3.12,1.78,3.81,-2.03
16,44210660,44211016,357,*,3.12,1.78,3.81,-2.03
4,136028731,136029154,424,*,3.12,1.78,3.81,-2.03
5,62909205,62909549,345,*,3.12,1.78,3.81,-2.03
9,46116853,46117317,465,*,3.12,1.78,3.81,-2.03
6,50416936,50417466,531,*,3.74,2.78,4.31,-1.53
1,43880399,43880711,313,*,3.1,1.78,3.78,-2
1,69685113,69685410,298,*,3.1,1.78,3.78,-2
10,54117723,54118005,283,*,3.1,1.78,3.78,-2
13,40997821,40998105,285,*,3.1,1.78,3.78,-2
14,45049648,45050056,409,*,3.1,1.78,3.78,-2
15,81534575,81534872,298,*,3.1,1.78,3.78,-2
16,38678935,38679208,274,*,3.1,1.78,3.78,-2
17,7939696,7940110,415,*,3.1,1.78,3.78,-2
2,155050844,155051224,381,*,3.1,1.78,3.78,-2
4,156022094,156022479,386,*,3.1,1.78,3.78,-2
6,129232929,129233173,245,*,3.1,1.78,3.78,-2
7,106236585,106237006,422,*,3.1,1.78,3.78,-2
9,66713025,66713415,391,*,3.1,1.78,3.78,-2
6,129642806,129643432,627,*,4.91,4.36,5.31,-0.94
11,54682567,54683383,817,*,5.75,5.36,6.05,-0.69
11,95748179,95748615,437,*,3.72,2.78,4.29,-1.51
3,142530036,142530372,337,*,3.72,2.78,4.29,-1.51
19,44606990,44607235,246,*,3.2,3.78,2.22,1.56
2,155761961,155762214,254,*,3.2,3.78,2.22,1.56
9,44772009,44772284,276,*,3.2,3.78,2.22,1.56
14,122852653,122852899,247,*,3.58,4.1,2.74,1.36
10,68558407,68558737,331,*,3.07,1.78,3.74,-1.96
11,54428070,54428473,404,*,3.07,1.78,3.74,-1.96
13,51951599,51951925,327,*,3.07,1.78,3.74,-1.96
13,98832408,98832716,309,*,3.07,1.78,3.74,-1.96
19,21737785,21738174,390,*,3.07,1.78,3.74,-1.96
19,34612309,34612651,343,*,3.07,1.78,3.74,-1.96
19,36833538,36834010,473,*,3.07,1.78,3.74,-1.96
2,93715392,93715927,536,*,3.07,1.78,3.74,-1.96
2,128221806,128222127,322,*,3.07,1.78,3.74,-1.96
4,150808528,150808936,409,*,3.07,1.78,3.74,-1.96
5,31860339,31860730,392,*,3.07,1.78,3.74,-1.96
9,32723066,32723343,278,*,3.07,1.78,3.74,-1.96
13,63223503,63223800,298,*,3.71,2.78,4.26,-1.49
4,46583808,46584183,376,*,5.39,4.95,5.72,-0.77
18,4278429,4278800,372,*,4.12,3.36,4.61,-1.25
12,98269775,98269922,148,*,2.72,3.36,1.54,1.82
12,117967254,117967421,168,*,2.72,3.36,1.54,1.82
13,20163673,20163820,148,*,2.72,3.36,1.54,1.82
19,12796756,12796903,148,*,2.72,3.36,1.54,1.82
3,154175964,154176140,177,*,2.72,3.36,1.54,1.82
5,35817420,35817577,158,*,2.72,3.36,1.54,1.82
13,17975891,17976111,221,*,3.89,4.36,3.17,1.19
12,73566558,73566890,333,*,4.15,4.59,3.51,1.08
1,53889398,53889731,334,*,3.05,1.78,3.71,-1.93
11,51760340,51760749,410,*,3.05,1.78,3.71,-1.93
13,104418999,104419290,292,*,3.05,1.78,3.71,-1.93
15,78449183,78449579,397,*,3.05,1.78,3.71,-1.93
16,24427698,24428007,310,*,3.05,1.78,3.71,-1.93
19,32263997,32264239,243,*,3.05,1.78,3.71,-1.93
2,11616924,11617232,309,*,3.05,1.78,3.71,-1.93
2,102733086,102733348,263,*,3.05,1.78,3.71,-1.93
3,83791169,83791596,428,*,3.05,1.78,3.71,-1.93
6,99336474,99336855,382,*,3.05,1.78,3.71,-1.93
6,127239705,127239985,281,*,3.05,1.78,3.71,-1.93
7,78854108,78854480,373,*,3.05,1.78,3.71,-1.93
7,123322880,123323137,258,*,3.05,1.78,3.71,-1.93
8,66861507,66861902,396,*,3.05,1.78,3.71,-1.93
X,7859279,7859559,281,*,3.05,1.78,3.71,-1.93
10,95416792,95417127,336,*,4.42,3.78,4.86,-1.08
19,53433999,53434207,209,*,3.22,3.78,2.31,1.47
3,95674319,95674478,160,*,3.22,3.78,2.31,1.47
12,12547673,12548030,358,*,3.67,2.78,4.22,-1.44
1,151979922,151980357,436,*,3.02,1.78,3.68,-1.9
11,108223181,108223426,246,*,3.02,1.78,3.68,-1.9
12,73887966,73888412,447,*,3.02,1.78,3.68,-1.9
13,111525713,111526164,452,*,3.02,1.78,3.68,-1.9
13,113134883,113135224,342,*,3.02,1.78,3.68,-1.9
18,20982569,20982906,338,*,3.02,1.78,3.68,-1.9
5,92964684,92965006,323,*,3.02,1.78,3.68,-1.9
6,108553094,108553338,245,*,3.02,1.78,3.68,-1.9
6,149193431,149193779,349,*,3.02,1.78,3.68,-1.9
11,31821416,31821563,148,*,2.06,2.78,0.54,2.24
13,91750275,91750462,188,*,2.06,2.78,0.54,2.24
2,150556471,150556636,166,*,2.06,2.78,0.54,2.24
4,94522913,94523080,168,*,2.06,2.78,0.54,2.24
CHR_PWK_PHJ_MMCHR11_CTG1,48994301,48994448,148,*,2.06,2.78,0.54,2.24
4,19686056,19686396,341,*,3.66,2.78,4.2,-1.42
1,88578344,88578646,303,*,3,1.78,3.65,-1.87
10,68039706,68040172,467,*,3,1.78,3.65,-1.87
13,37622772,37623062,291,*,3,1.78,3.65,-1.87
17,71485663,71486033,371,*,3,1.78,3.65,-1.87
2,90563203,90563792,590,*,3,1.78,3.65,-1.87
4,6933933,6934424,492,*,3,1.78,3.65,-1.87
5,107648919,107649217,299,*,3,1.78,3.65,-1.87
9,48538371,48538659,289,*,3,1.78,3.65,-1.87
X,20772097,20772373,277,*,3,1.78,3.65,-1.87
12,36136128,36136278,151,*,2.76,3.36,1.68,1.68
12,85447296,85447466,171,*,2.76,3.36,1.68,1.68
14,102329590,102329738,149,*,2.76,3.36,1.68,1.68
18,89245679,89245826,148,*,2.76,3.36,1.68,1.68
7,104400731,104400964,234,*,2.76,3.36,1.68,1.68
X,167088885,167089085,201,*,2.76,3.36,1.68,1.68
16,10772245,10772603,359,*,4.07,3.36,4.54,-1.18
1,46076028,46076243,216,*,0.9,1.78,-1.78,3.56
1,56782235,56782466,232,*,0.9,1.78,-1.78,3.56
1,69456707,69456952,246,*,0.9,1.78,-1.78,3.56
1,102628174,102628394,221,*,0.9,1.78,-1.78,3.56
1,122357099,122357337,239,*,0.9,1.78,-1.78,3.56
1,167340242,167340457,216,*,0.9,1.78,-1.78,3.56
1,191120873,191121089,217,*,0.9,1.78,-1.78,3.56
10,4614411,4614559,149,*,0.9,1.78,-1.78,3.56
11,3102783,3103015,233,*,0.9,1.78,-1.78,3.56
11,33754886,33755041,156,*,0.9,1.78,-1.78,3.56
11,107199373,107199527,155,*,0.9,1.78,-1.78,3.56
12,3109770,3110011,242,*,0.9,1.78,-1.78,3.56
12,78350851,78351206,356,*,0.9,1.78,-1.78,3.56
12,99645145,99645309,165,*,0.9,1.78,-1.78,3.56
13,9011680,9011838,159,*,0.9,1.78,-1.78,3.56
13,9834298,9834560,263,*,0.9,1.78,-1.78,3.56
13,44869526,44869746,221,*,0.9,1.78,-1.78,3.56
13,44869839,44870091,253,*,0.9,1.78,-1.78,3.56
13,77304868,77305109,242,*,0.9,1.78,-1.78,3.56
13,110744097,110744247,151,*,0.9,1.78,-1.78,3.56
13,112578156,112578370,215,*,0.9,1.78,-1.78,3.56
14,19278065,19278304,240,*,0.9,1.78,-1.78,3.56
14,56694007,56694164,158,*,0.9,1.78,-1.78,3.56
14,104715773,104716048,276,*,0.9,1.78,-1.78,3.56
15,47539938,47540186,249,*,0.9,1.78,-1.78,3.56
15,86194879,86195297,419,*,0.9,1.78,-1.78,3.56
16,11144121,11144347,227,*,0.9,1.78,-1.78,3.56
16,17222249,17222540,292,*,0.9,1.78,-1.78,3.56
16,18533129,18533395,267,*,0.9,1.78,-1.78,3.56
16,35981501,35981889,389,*,0.9,1.78,-1.78,3.56
16,57391067,57391406,340,*,0.9,1.78,-1.78,3.56
16,93597837,93598084,248,*,0.9,1.78,-1.78,3.56
17,6941815,6942047,233,*,0.9,1.78,-1.78,3.56
17,7616186,7616333,148,*,0.9,1.78,-1.78,3.56
17,36231420,36231603,184,*,0.9,1.78,-1.78,3.56
17,39846715,39846960,246,*,0.9,1.78,-1.78,3.56
17,39847224,39847400,177,*,0.9,1.78,-1.78,3.56
17,50420114,50420261,148,*,0.9,1.78,-1.78,3.56
17,62737483,62737723,241,*,0.9,1.78,-1.78,3.56
17,70963675,70963822,148,*,0.9,1.78,-1.78,3.56
17,93645615,93645853,239,*,0.9,1.78,-1.78,3.56
18,50009109,50009256,148,*,0.9,1.78,-1.78,3.56
18,54699077,54699451,375,*,0.9,1.78,-1.78,3.56
18,78198251,78198398,148,*,0.9,1.78,-1.78,3.56
19,40119827,40119974,148,*,0.9,1.78,-1.78,3.56
2,20899804,20900243,440,*,0.9,1.78,-1.78,3.56
2,121522415,121522562,148,*,0.9,1.78,-1.78,3.56
2,145002133,145002375,243,*,0.9,1.78,-1.78,3.56
2,181930151,181930530,380,*,0.9,1.78,-1.78,3.56
3,5860269,5860609,341,*,0.9,1.78,-1.78,3.56
3,96044637,96044835,199,*,0.9,1.78,-1.78,3.56
3,121249797,121249983,187,*,0.9,1.78,-1.78,3.56
4,3089630,3089899,270,*,0.9,1.78,-1.78,3.56
4,64497769,64498154,386,*,0.9,1.78,-1.78,3.56
4,72028083,72028230,148,*,0.9,1.78,-1.78,3.56
4,139338223,139338372,150,*,0.9,1.78,-1.78,3.56
6,3200765,3201369,605,*,0.9,1.78,-1.78,3.56
6,29747831,29748637,807,*,0.9,1.78,-1.78,3.56
6,44792893,44793297,405,*,0.9,1.78,-1.78,3.56
6,49236377,49236649,273,*,0.9,1.78,-1.78,3.56
6,51047382,51047625,244,*,0.9,1.78,-1.78,3.56
6,60687135,60687287,153,*,0.9,1.78,-1.78,3.56
6,133169960,133170117,158,*,0.9,1.78,-1.78,3.56
6,145932776,145933089,314,*,0.9,1.78,-1.78,3.56
7,130834415,130834661,247,*,0.9,1.78,-1.78,3.56
8,3754399,3754551,153,*,0.9,1.78,-1.78,3.56
8,15519977,15520177,201,*,0.9,1.78,-1.78,3.56
8,88587265,88587504,240,*,0.9,1.78,-1.78,3.56
9,3258759,3258985,227,*,0.9,1.78,-1.78,3.56
9,56223554,56224009,456,*,0.9,1.78,-1.78,3.56
9,83559109,83559257,149,*,0.9,1.78,-1.78,3.56
9,118674856,118675003,148,*,0.9,1.78,-1.78,3.56
9,123461791,123462186,396,*,0.9,1.78,-1.78,3.56
CHR_CAST_EI_MMCHR11_CTG5,83046093,83046548,456,*,0.9,1.78,-1.78,3.56
GL456389.1,23906,24493,588,*,0.9,1.78,-1.78,3.56
GL456390.1,23679,23834,156,*,0.9,1.78,-1.78,3.56
GL456392.1,1938,2092,155,*,0.9,1.78,-1.78,3.56
GL456396.1,12395,12611,217,*,0.9,1.78,-1.78,3.56
X,21680481,21680707,227,*,0.9,1.78,-1.78,3.56
X,87238261,87238504,244,*,0.9,1.78,-1.78,3.56
X,129056489,129056726,238,*,0.9,1.78,-1.78,3.56
X,143482918,143483200,283,*,0.9,1.78,-1.78,3.56
10,14057985,14058357,373,*,3.92,4.36,3.26,1.1
1,64000883,64001139,257,*,2.97,1.78,3.61,-1.83
1,142894165,142894500,336,*,2.97,1.78,3.61,-1.83
1,164083002,164083311,310,*,2.97,1.78,3.61,-1.83
11,45856170,45856464,295,*,2.97,1.78,3.61,-1.83
11,61142410,61142769,360,*,2.97,1.78,3.61,-1.83
12,35799297,35799708,412,*,2.97,1.78,3.61,-1.83
12,103331328,103331807,480,*,2.97,1.78,3.61,-1.83
13,113050169,113050555,387,*,2.97,1.78,3.61,-1.83
15,62288398,62288685,288,*,2.97,1.78,3.61,-1.83
15,62804329,62804659,331,*,2.97,1.78,3.61,-1.83
17,50525096,50525434,339,*,2.97,1.78,3.61,-1.83
19,53536829,53537120,292,*,2.97,1.78,3.61,-1.83
2,29457623,29458033,411,*,2.97,1.78,3.61,-1.83
6,99665347,99665740,394,*,2.97,1.78,3.61,-1.83
9,86617683,86618118,436,*,2.97,1.78,3.61,-1.83
X,166982251,166982766,516,*,2.97,1.78,3.61,-1.83
1,88553630,88554093,464,*,3.62,2.78,4.15,-1.37
19,53281857,53282263,407,*,3.62,2.78,4.15,-1.37
8,81766008,81766341,334,*,3.62,2.78,4.15,-1.37
4,32319676,32320254,579,*,4.37,3.78,4.79,-1.01
5,105354110,105354360,251,*,4.37,3.78,4.79,-1.01
13,23691908,23692246,339,*,2.94,1.78,3.58,-1.8
13,108450848,108451288,441,*,2.94,1.78,3.58,-1.8
