seqnames,start,end,width,strand,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS,ENSEMBL,SYMBOL,GENENAME
chr12,33171015,33171421,407,*,"Intron (ENSMUST00000077456.12/380753, intron 1 of 2)",12,33147805,33328849,181045,1,380753,ENSMUST00000136644.7,23210,ENSMUSG00000020564,Atxn7l1,ataxin 7-like 1
chr12,35562912,35563185,274,*,"Intron (ENSMUST00000223092.1/ENSMUST00000223092.1, intron 2 of 5)",12,35497974,35535038,37065,2,11622,ENSMUST00000116436.8,-27874,ENSMUSG00000019256,Ahr,aryl-hydrocarbon receptor
chr12,35799298,35799708,411,*,Distal Intergenic,12,35672380,35695118,22739,2,71581,ENSMUST00000222153.1,-104180,ENSMUSG00000113985,9130015A21Rik,RIKEN cDNA 9130015A21 gene
chr12,36039726,36039970,245,*,Promoter (<=1kb),12,36021812,36039935,18124,2,66109,ENSMUST00000222584.1,0,ENSMUSG00000020577,Tspan13,tetraspanin 13
chr12,36382240,36382401,162,*,Promoter (<=1kb),12,36382180,36688592,306413,1,75847,ENSMUST00000221177.1,60,ENSMUSG00000043153,Crppa,CDP-L-ribitol pyrophosphorylase A
chr12,40008535,40008791,257,*,3' UTR,12,40005447,40037367,31921,2,11861,ENSMUST00000144910.1,28576,ENSMUSG00000047446,Arl4a,ADP-ribosylation factor-like 4A
chr12,40018257,40018451,195,*,"Intron (ENSMUST00000144910.1/11861, intron 2 of 7)",12,40005447,40037367,31921,2,11861,ENSMUST00000144910.1,18916,ENSMUSG00000047446,Arl4a,ADP-ribosylation factor-like 4A
chr12,40248884,40249108,225,*,Promoter (<=1kb),12,40216189,40248504,32316,2,15982,ENSMUST00000164354.1,-380,ENSMUSG00000001627,Ifrd1,interferon-related developmental regulator 1
chr12,41031106,41031405,300,*,Promoter (6-7kb),12,41024329,41955242,930914,1,93757,ENSMUST00000134965.7,6777,ENSMUSG00000056899,Immp2l,IMP2 inner mitochondrial membrane peptidase-like (S. cerevisiae)
chr12,51847846,51848273,428,*,Distal Intergenic,12,51743722,51829536,85815,2,207304,ENSMUST00000179265.7,-18310,ENSMUSG00000035247,Hectd1,HECT domain E3 ubiquitin protein ligase 1
chr12,51855490,51855700,211,*,Distal Intergenic,12,51743722,51829536,85815,2,207304,ENSMUST00000179265.7,-25954,ENSMUSG00000035247,Hectd1,HECT domain E3 ubiquitin protein ligase 1
chr12,54210726,54211076,351,*,Promoter (6-7kb),12,54178981,54203860,24880,2,112407,ENSMUST00000039516.3,-6866,ENSMUSG00000035105,Egln3,egl-9 family hypoxia-inducible factor 3
chr12,54313612,54313889,278,*,Distal Intergenic,12,54388042,54391318,3277,2,665239,ENSMUST00000223334.1,77429,NA,Gm7550,predicted gene 7550
chr12,55112748,55113050,303,*,3' UTR,12,55124469,55142104,17636,1,100101807,ENSMUST00000177768.2,-11419,ENSMUSG00000094103,Fam177a2,family with sequence similarity 177 member A2
chr12,55187797,55188154,358,*,Promoter (7-8kb),12,55180190,55183711,3522,1,665155,ENSMUST00000218128.1,7607,ENSMUSG00000112449,Srp54b,signal recognition particle 54B
chr12,55262076,55262329,254,*,3' UTR,12,55239326,55263020,23695,1,100101806,ENSMUST00000164243.1,22750,ENSMUSG00000079108,Srp54c,signal recognition particle 54C
chr12,59021446,59021670,225,*,Promoter (2-3kb),12,59024666,59027887,3222,1,66603,ENSMUST00000182710.1,-2996,ENSMUSG00000060121,Gemin2,gem nuclear organelle associated protein 2
chr12,69257930,69258219,290,*,"Exon (ENSMUST00000063445.12/271005, exon 7 of 13)",12,69241918,69283319,41402,1,271005,ENSMUST00000173419.1,16012,ENSMUSG00000051890,Klhdc1,kelch domain containing 1
chr12,69412072,69412239,168,*,Distal Intergenic,12,69372150,69373783,1634,1,11845,ENSMUST00000050063.8,39922,ENSMUSG00000044147,Arf6,ADP-ribosylation factor 6
chr12,69416943,69417131,189,*,Distal Intergenic,12,69372150,69373783,1634,1,11845,ENSMUST00000050063.8,44793,ENSMUSG00000044147,Arf6,ADP-ribosylation factor 6
chr12,69419224,69419431,208,*,Distal Intergenic,12,69372150,69373783,1634,1,11845,ENSMUST00000050063.8,47074,ENSMUSG00000044147,Arf6,ADP-ribosylation factor 6
chr12,73566559,73566890,332,*,Distal Intergenic,12,73584796,73778176,193381,1,18755,ENSMUST00000221153.1,-17906,ENSMUSG00000021108,Prkch,"protein kinase C, eta"
chr12,73699598,73699768,171,*,"Intron (ENSMUST00000221153.1/18755, intron 7 of 14)",12,73584843,73761542,176700,1,18755,ENSMUST00000119092.1,114755,ENSMUSG00000021108,Prkch,"protein kinase C, eta"
chr12,73842377,73842849,473,*,Distal Intergenic,12,73901375,73947530,46156,1,15251,ENSMUST00000110461.7,-58526,ENSMUSG00000021109,Hif1a,"hypoxia inducible factor 1, alpha subunit"
chr12,73887967,73888412,446,*,"Intron (ENSMUST00000221427.1/ENSMUST00000221427.1, intron 1 of 2)",12,73901375,73947530,46156,1,15251,ENSMUST00000110461.7,-12963,ENSMUSG00000021109,Hif1a,"hypoxia inducible factor 1, alpha subunit"
chr12,75292949,75293255,307,*,Distal Intergenic,12,75308322,75395817,87496,1,80837,ENSMUST00000118602.7,-15067,ENSMUSG00000046768,Rhoj,ras homolog family member J
chr12,76367216,76367370,155,*,Promoter (1-2kb),12,76348944,76368999,20056,2,109929,ENSMUST00000176509.7,1629,ENSMUSG00000056459,Zbtb25,zinc finger and BTB domain containing 25
chr12,77056954,77057219,266,*,Distal Intergenic,12,76937274,76962201,24928,2,17187,ENSMUST00000082136.6,-94753,ENSMUSG00000059436,Max,Max protein
chr12,79393681,79393921,241,*,"Intron (ENSMUST00000171210.2/19363, intron 7 of 10)",12,79327353,79701856,374504,1,19363,ENSMUST00000221257.1,66328,ENSMUSG00000059060,Rad51b,RAD51 paralog B
chr12,79960195,79960403,209,*,Distal Intergenic,12,79917845,79936264,18420,2,77290,ENSMUST00000219857.1,-23931,ENSMUSG00000112765,9430078K24Rik,RIKEN cDNA 9430078K24 gene
chr12,80065072,80065433,362,*,"Intron (ENSMUST00000218323.1/ENSMUST00000218323.1, intron 1 of 1)",12,80108756,80112994,4239,2,12192,ENSMUST00000219642.1,47561,ENSMUSG00000021127,Zfp36l1,"zinc finger protein 36, C3H type-like 1"
chr12,80115228,80115493,266,*,Promoter (2-3kb),12,80107754,80113013,5260,2,12192,ENSMUST00000021552.2,-2215,ENSMUSG00000021127,Zfp36l1,"zinc finger protein 36, C3H type-like 1"
chr12,82189833,82190103,271,*,"Intron (ENSMUST00000220550.1/217692, intron 2 of 3)",12,82170026,82450274,280249,1,217692,ENSMUST00000222298.1,19807,ENSMUSG00000042700,Sipa1l1,signal-induced proliferation-associated 1 like 1
chr12,82350095,82350439,345,*,Promoter (7-8kb),12,82342267,82398176,55910,1,217692,ENSMUST00000220766.1,7828,ENSMUSG00000042700,Sipa1l1,signal-induced proliferation-associated 1 like 1
chr12,83631756,83632004,249,*,Promoter (<=1kb),12,83632252,83683123,50872,1,67039,ENSMUST00000048155.15,-248,ENSMUSG00000010608,Rbm25,RNA binding motif protein 25
chr12,84762441,84762684,244,*,Promoter (<=1kb),12,84756492,84762540,6049,2,67963,ENSMUST00000223200.1,0,ENSMUSG00000021242,Npc2,NPC intracellular cholesterol transporter 2
chr12,85182898,85183117,220,*,Promoter (5-6kb),12,85166635,85177790,11156,2,18654,ENSMUST00000223220.1,-5108,ENSMUSG00000004791,Pgf,placental growth factor
chr12,85382861,85383270,410,*,Promoter (8-9kb),12,85342788,85374847,32060,2,68581,ENSMUST00000040766.8,-8014,ENSMUSG00000021248,Tmed10,transmembrane p24 trafficking protein 10
chr12,85427714,85427924,211,*,Distal Intergenic,12,85473890,85477273,3384,1,14281,ENSMUST00000021674.6,-45966,ENSMUSG00000021250,Fos,FBJ osteosarcoma oncogene
chr12,85663068,85663387,320,*,Distal Intergenic,12,85686669,85709087,22419,1,53314,ENSMUST00000040536.5,-23282,ENSMUSG00000034266,Batf,"basic leucine zipper transcription factor, ATF-like"
chr12,86686821,86687214,394,*,Promoter (8-9kb),12,86678700,86692091,13392,1,238328,ENSMUST00000021681.3,8121,ENSMUSG00000021256,Vash1,vasohibin 1
chr12,88360450,88360707,258,*,Promoter (<=1kb),12,88360554,88461719,101166,1,72113,ENSMUST00000101165.8,0,ENSMUSG00000021044,Adck1,aarF domain containing kinase 1
chr12,91183457,91183737,281,*,Promoter (<=1kb),12,90999565,91183719,184155,2,75216,ENSMUST00000123161.7,0,ENSMUSG00000061533,Cep128,centrosomal protein 128
chr12,92505171,92505427,257,*,Distal Intergenic,12,91806043,91849157,43115,2,20338,ENSMUST00000178462.7,-656014,ENSMUSG00000020964,Sel1l,sel-1 suppressor of lin-12-like (C. elegans)
chr12,92672428,92672715,288,*,Distal Intergenic,12,93416458,93444823,28366,2,75295,ENSMUST00000223202.1,772108,ENSMUSG00000113164,4930559C10Rik,RIKEN cDNA 4930559C10 gene
chr12,92883267,92883772,506,*,Distal Intergenic,12,93416458,93444823,28366,2,75295,ENSMUST00000223202.1,561051,ENSMUSG00000113164,4930559C10Rik,RIKEN cDNA 4930559C10 gene
chr12,92891835,92892389,555,*,Distal Intergenic,12,93416458,93444823,28366,2,75295,ENSMUST00000223202.1,552434,ENSMUSG00000113164,4930559C10Rik,RIKEN cDNA 4930559C10 gene
chr12,98270145,98270576,432,*,Promoter (1-2kb),12,98268635,98276644,8010,1,14744,ENSMUST00000075072.5,1510,ENSMUSG00000021886,Gpr65,G-protein coupled receptor 65
chr12,99326155,99326554,400,*,Promoter (3-4kb),12,99196670,99330063,133394,2,71375,ENSMUST00000222261.1,3509,ENSMUSG00000033713,Foxn3,forkhead box N3
chr12,99510166,99510446,281,*,"Intron (ENSMUST00000176928.2/71375, intron 1 of 2)",12,99388345,99563508,175164,2,71375,ENSMUST00000176928.2,53062,ENSMUSG00000033713,Foxn3,forkhead box N3
chr12,100446740,100447059,320,*,"Exon (ENSMUST00000062957.7/104718, exon 5 of 20)",12,100387184,100466298,79115,2,104718,ENSMUST00000223514.1,19239,ENSMUSG00000033530,Ttc7b,tetratricopeptide repeat domain 7B
chr12,103331329,103331807,479,*,Promoter (3-4kb),12,103321146,103335584,14439,2,65256,ENSMUST00000127447.1,3777,ENSMUSG00000021200,Asb2,ankyrin repeat and SOCS box-containing 2
chr12,105019168,105019525,358,*,Promoter (9-10kb),12,104929933,105009809,79877,2,212073,ENSMUST00000067005.10,-9359,ENSMUSG00000054150,Syne3,"spectrin repeat containing, nuclear envelope family member 3"
chr12,106030531,106030753,223,*,Promoter (<=1kb),12,106030717,106075409,44693,1,22367,ENSMUST00000220629.1,0,ENSMUSG00000021115,Vrk1,vaccinia related kinase 1
chr12,107146977,107147457,481,*,"Exon (ENSMUST00000148122.1/ENSMUST00000148122.1, exon 3 of 3)",12,106706049,106716362,10314,2,71033,ENSMUST00000149382.1,-430615,ENSMUSG00000085820,4933406K04Rik,RIKEN cDNA 4933406K04 gene
chr12,107160465,107160868,404,*,Distal Intergenic,12,106706049,106716362,10314,2,71033,ENSMUST00000149382.1,-444103,ENSMUSG00000085820,4933406K04Rik,RIKEN cDNA 4933406K04 gene
chr12,108893303,108893452,150,*,Promoter (<=1kb),12,108860030,108893198,33169,2,22375,ENSMUST00000161410.7,-105,ENSMUSG00000021266,Wars,tryptophanyl-tRNA synthetase
chr12,110332711,110332980,270,*,Distal Intergenic,12,110279260,110280708,1449,1,107585,ENSMUST00000097228.4,53451,ENSMUSG00000075707,Dio3,"deiodinase, iodothyronine type III"
chr12,113232356,113232551,196,*,Distal Intergenic,12,113185930,113189523,3594,1,69195,ENSMUST00000058491.7,46426,ENSMUSG00000049036,Tmem121,transmembrane protein 121
chr12,113248758,113249071,314,*,Distal Intergenic,12,113185930,113189523,3594,1,69195,ENSMUST00000058491.7,62828,ENSMUSG00000049036,Tmem121,transmembrane protein 121
chr12,113253836,113254023,188,*,Distal Intergenic,12,113185930,113189523,3594,1,69195,ENSMUST00000058491.7,67906,ENSMUSG00000049036,Tmem121,transmembrane protein 121
chr12,114659812,114660122,311,*,Distal Intergenic,12,114513635,114513694,60,2,102465664,ENSMUST00000184622.1,-146118,ENSMUSG00000098357,Mir7094-2,microRNA 7094-2
chr12,114766878,114767202,325,*,Distal Intergenic,12,114513635,114513694,60,2,102465664,ENSMUST00000184622.1,-253184,ENSMUSG00000098357,Mir7094-2,microRNA 7094-2
chr12,118376649,118376903,255,*,Distal Intergenic,12,118261792,118301440,39649,2,20688,ENSMUST00000221844.1,-75209,ENSMUSG00000025323,Sp4,trans-acting transcription factor 4
chr13,4256948,4257239,292,*,Promoter (8-9kb),13,4248735,4249025,291,1,111002,ENSMUST00000132531.1,8213,NA,Marcksl1-ps4,"MARCKS-like 1, pseudogene 4"
chr13,5666248,5667083,836,*,"Intron (ENSMUST00000222871.1/ENSMUST00000222871.1, intron 1 of 2)",13,5855515,5857561,2047,2,71867,ENSMUST00000223142.1,190478,ENSMUSG00000100625,1700016G22Rik,RIKEN cDNA 1700016G22 gene
chr13,5714160,5714354,195,*,"Intron (ENSMUST00000222871.1/ENSMUST00000222871.1, intron 1 of 2)",13,5855515,5857561,2047,2,71867,ENSMUST00000223142.1,143207,ENSMUSG00000100625,1700016G22Rik,RIKEN cDNA 1700016G22 gene
chr13,5714921,5715368,448,*,"Intron (ENSMUST00000222871.1/ENSMUST00000222871.1, intron 1 of 2)",13,5855515,5857561,2047,2,71867,ENSMUST00000223142.1,142193,ENSMUSG00000100625,1700016G22Rik,RIKEN cDNA 1700016G22 gene
chr13,5767947,5768184,238,*,Distal Intergenic,13,5855515,5857561,2047,2,71867,ENSMUST00000223142.1,89377,ENSMUSG00000100625,1700016G22Rik,RIKEN cDNA 1700016G22 gene
chr13,5890082,5890430,349,*,"Intron (ENSMUST00000221487.1/ENSMUST00000221487.1, intron 1 of 1)",13,5864678,5866770,2093,1,23849,ENSMUST00000221734.1,25404,ENSMUSG00000000078,Klf6,Kruppel-like factor 6
chr13,6159762,6159995,234,*,Distal Intergenic,13,5864678,5866770,2093,1,23849,ENSMUST00000221734.1,295084,ENSMUSG00000000078,Klf6,Kruppel-like factor 6
chr13,6193094,6193240,147,*,Distal Intergenic,13,5864678,5866770,2093,1,23849,ENSMUST00000221734.1,328416,ENSMUSG00000000078,Klf6,Kruppel-like factor 6
chr13,9427978,9428323,346,*,"Intron (ENSMUST00000174552.7/208440, intron 1 of 36)",13,9276982,9666178,389197,1,208440,ENSMUST00000166299.1,150996,ENSMUSG00000048264,Dip2c,disco interacting protein 2 homolog C
chr13,9749434,9749686,253,*,"Intron (ENSMUST00000110636.8/66505, intron 1 of 14)",13,9698658,9735884,37227,2,66505,ENSMUST00000144642.1,-13550,ENSMUSG00000021156,Zmynd11,"zinc finger, MYND domain containing 11"
chr13,13572269,13572542,274,*,Distal Intergenic,13,13590397,13636259,45863,1,17101,ENSMUST00000223053.1,-17855,ENSMUSG00000019726,Lyst,lysosomal trafficking regulator
chr13,19182306,19182454,149,*,"Intron (ENSMUST00000197661.1/ENSMUST00000197661.1, intron 3 of 3)",13,19119789,19142012,22224,1,218038,ENSMUST00000197545.1,62517,ENSMUSG00000021314,Amph,amphiphysin
chr13,19356266,19356506,241,*,Promoter (2-3kb),13,19357679,19359125,1447,2,76205,ENSMUST00000196537.4,2619,ENSMUSG00000003062,Stard3nl,STARD3 N-terminal like
chr13,19755017,19755173,157,*,5' UTR,13,19727426,19732951,5526,2,319293,ENSMUST00000151029.2,-22066,ENSMUSG00000047462,Gpr141b,G protein-coupled receptor 141B
chr13,21366616,21366950,335,*,Promoter (3-4kb),13,21363285,21369824,6540,1,22758,ENSMUST00000099720.2,3331,ENSMUSG00000036721,Zscan12,zinc finger and SCAN domain containing 12
chr13,22051159,22051401,243,*,Promoter (7-8kb),13,22043214,22043676,463,1,319183,ENSMUST00000110452.1,7945,ENSMUSG00000069300,H2bc11,H2B clustered histone 11
chr13,23584628,23584774,147,*,Promoter (3-4kb),13,23581598,23582735,1138,1,319156,ENSMUST00000102968.2,3030,ENSMUSG00000061482,H4c4,H4 clustered histone 4
chr13,23593037,23593547,511,*,"Intron (ENSMUST00000091704.6/319179, intron 1 of 1)",13,23581598,23582735,1138,1,319156,ENSMUST00000102968.2,11439,ENSMUSG00000061482,H4c4,H4 clustered histone 4
chr13,23691909,23692246,338,*,Promoter (3-4kb),13,23695814,23696725,912,1,107970,ENSMUST00000041052.4,-3568,ENSMUSG00000036211,H1f6,"H1.6 linker histone, cluster member"
chr13,23742029,23742206,178,*,Promoter (3-4kb),13,23738808,23740367,1560,1,50708,ENSMUST00000040914.2,3221,ENSMUSG00000036181,H1f2,"H1.2 linker histone, cluster member"
chr13,24375981,24376151,171,*,Promoter (<=1kb),13,24376083,24477265,101183,1,12763,ENSMUST00000110391.3,0,ENSMUSG00000016756,Cmah,cytidine monophospho-N-acetylneuraminic acid hydroxylase
chr13,24604699,24605040,342,*,Promoter (<=1kb),13,24596347,24604767,8421,2,76024,ENSMUST00000149751.2,0,NA,Gm11346,X-linked lymphocyte-regulated 5 pseudogene
chr13,24962262,24962517,256,*,Promoter (<=1kb),13,24962627,24968407,5781,1,14756,ENSMUST00000223873.1,-110,ENSMUSG00000021340,Gpld1,glycosylphosphatidylinositol specific phospholipase D1
chr13,30259227,30259567,341,*,Distal Intergenic,13,30231853,30245715,13863,1,218121,ENSMUST00000222095.1,27374,ENSMUSG00000038732,Mboat1,membrane bound O-acyltransferase domain containing 1
chr13,30260648,30260876,229,*,Distal Intergenic,13,30231853,30245715,13863,1,218121,ENSMUST00000222095.1,28795,ENSMUSG00000038732,Mboat1,membrane bound O-acyltransferase domain containing 1
chr13,30619384,30619734,351,*,Promoter (4-5kb),13,30615043,30624259,9217,1,75090,ENSMUST00000151471.1,4341,ENSMUSG00000086263,4930519D14Rik,RIKEN cDNA 4930519D14 gene
chr13,30747814,30748215,402,*,Promoter (1-2kb),13,30749226,30766976,17751,1,16364,ENSMUST00000021784.9,-1011,ENSMUSG00000021356,Irf4,interferon regulatory factor 4
chr13,30833510,30833658,149,*,"Intron (ENSMUST00000102946.7/66482, intron 24 of 28)",13,30749307,30750768,1462,1,16364,ENSMUST00000222125.1,84203,ENSMUSG00000021356,Irf4,interferon regulatory factor 4
chr13,30865531,30865876,346,*,"Intron (ENSMUST00000102946.7/66482, intron 22 of 28)",13,30900632,30925829,25198,2,66482,ENSMUST00000221678.1,59953,ENSMUSG00000021357,Exoc2,exocyst complex component 2
chr13,34002564,34002879,316,*,Promoter (<=1kb),13,34002874,34037147,34274,1,19766,ENSMUST00000167374.8,0,ENSMUSG00000021408,Ripk1,receptor (TNFRSF)-interacting serine-threonine kinase 1
chr13,36288303,36288519,217,*,"Intron (ENSMUST00000021857.12/69955, intron 4 of 6)",13,36326958,36537348,210391,1,69955,ENSMUST00000225948.1,-38439,ENSMUSG00000021420,Fars2,phenylalanine-tRNA synthetase 2 (mitochondrial)
chr13,36802349,36802626,278,*,Distal Intergenic,13,36726636,36735131,8496,2,68404,ENSMUST00000224960.1,-67218,ENSMUSG00000039114,Nrn1,neuritin 1
chr13,37140605,37140813,209,*,Distal Intergenic,13,36867178,37050244,183067,2,74145,ENSMUST00000164727.7,-90361,ENSMUSG00000039109,F13a1,"coagulation factor XIII, A1 subunit"
chr13,37622773,37623062,290,*,"Exon (ENSMUST00000224987.1/ENSMUST00000224987.1, exon 3 of 4)",13,37778400,37893849,115450,1,68750,ENSMUST00000122842.7,-155338,ENSMUSG00000039087,Rreb1,ras responsive element binding protein 1
chr13,38049911,38050263,353,*,Promoter (<=1kb),13,38050437,38060839,10403,1,71340,ENSMUST00000226056.1,-174,ENSMUSG00000021428,Riok1,RIO kinase 1
chr13,40922595,40922792,198,*,Promoter (4-5kb),13,40917650,40953789,36140,1,14538,ENSMUST00000225759.1,4945,ENSMUSG00000021360,Gcnt2,"glucosaminyl (N-acetyl) transferase 2, I-branching enzyme"
chr13,40997822,40998105,284,*,Promoter (2-3kb),13,41001023,41013015,11993,1,68083,ENSMUST00000046951.9,-2918,ENSMUSG00000038683,Pak1ip1,PAK1 interacting protein 1
chr13,41381476,41381857,382,*,"Intron (ENSMUST00000225967.1/ENSMUST00000225967.1, intron 1 of 1)",13,41317920,41359739,41820,2,18003,ENSMUST00000224803.1,-21737,ENSMUSG00000021365,Nedd9,"neural precursor cell expressed, developmentally down-regulated gene 9"
chr13,41532689,41532928,240,*,"Intron (ENSMUST00000224440.1/ENSMUST00000224440.1, intron 2 of 2)",13,41432303,41487362,55060,2,18003,ENSMUST00000224083.1,-45327,ENSMUSG00000021365,Nedd9,"neural precursor cell expressed, developmentally down-regulated gene 9"
chr13,43775332,43775516,185,*,Promoter (9-10kb),13,43784775,43803132,18358,1,12522,ENSMUST00000015540.3,-9259,ENSMUSG00000015396,Cd83,CD83 antigen
chr13,44065693,44065992,300,*,Distal Intergenic,13,44121167,44125179,4013,1,328235,ENSMUST00000163056.7,-55175,ENSMUSG00000089815,Gm5083,predicted gene 5083
chr13,44249163,44249481,319,*,"Exon (ENSMUST00000222396.1/ENSMUST00000222396.1, exon 2 of 2)",13,44193589,44216487,22899,2,100503592,ENSMUST00000223513.1,-32676,ENSMUSG00000113186,A330076C08Rik,RIKEN cDNA A330076C08 gene
chr13,44393513,44393704,192,*,Distal Intergenic,13,44439712,44457566,17855,1,69491,ENSMUST00000190628.6,-46008,ENSMUSG00000098144,1700029N11Rik,RIKEN cDNA 1700029N11 gene
chr13,44507123,44507451,329,*,Distal Intergenic,13,44439736,44469030,29295,1,69491,ENSMUST00000220639.1,67387,ENSMUSG00000098144,1700029N11Rik,RIKEN cDNA 1700029N11 gene
chr13,46696922,46697187,266,*,Promoter (<=1kb),13,46693767,46696848,3082,2,218210,ENSMUST00000224186.1,-74,ENSMUSG00000021374,Nup153,nucleoporin 153
chr13,46728039,46728280,242,*,Promoter (<=1kb),13,46679905,46727940,48036,2,218210,ENSMUST00000021803.9,-99,ENSMUSG00000021374,Nup153,nucleoporin 153
chr13,49241216,49241469,254,*,Promoter (<=1kb),13,49237685,49240618,2934,2,66329,ENSMUST00000141408.1,-598,ENSMUSG00000021384,Susd3,sushi domain containing 3
chr13,49556941,49557296,356,*,"Exon (ENSMUST00000177948.1/66695, exon 4 of 8)",13,49544487,49567565,23079,1,66695,ENSMUST00000021820.13,12454,ENSMUSG00000021388,Aspn,asporin
chr13,51471234,51471419,186,*,"Intron (ENSMUST00000021898.5/20418, intron 5 of 11)",13,51408639,51422797,14159,1,13610,ENSMUST00000087978.4,62595,ENSMUSG00000067586,S1pr3,sphingosine-1-phosphate receptor 3
chr13,51472723,51472938,216,*,"Exon (ENSMUST00000021898.5/20418, exon 5 of 12)",13,51408639,51422797,14159,1,13610,ENSMUST00000087978.4,64084,ENSMUSG00000067586,S1pr3,sphingosine-1-phosphate receptor 3
chr13,51768051,51768284,234,*,Promoter (8-9kb),13,51725390,51777111,51722,2,20354,ENSMUST00000139858.7,8827,ENSMUSG00000021451,Sema4d,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D"
chr13,51776257,51776693,437,*,Promoter (<=1kb),13,51725390,51777111,51722,2,20354,ENSMUST00000139858.7,418,ENSMUSG00000021451,Sema4d,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D"
chr13,51849384,51849619,236,*,Promoter (2-3kb),13,51846744,51848224,1481,1,23882,ENSMUST00000132480.1,2640,ENSMUSG00000021453,Gadd45g,growth arrest and DNA-damage-inducible 45 gamma
chr13,51908410,51908727,318,*,Distal Intergenic,13,51846744,51848224,1481,1,23882,ENSMUST00000132480.1,61666,ENSMUSG00000021453,Gadd45g,growth arrest and DNA-damage-inducible 45 gamma
chr13,51933433,51933604,172,*,Distal Intergenic,13,51846744,51848224,1481,1,23882,ENSMUST00000132480.1,86689,ENSMUSG00000021453,Gadd45g,growth arrest and DNA-damage-inducible 45 gamma
chr13,51936176,51936341,166,*,Distal Intergenic,13,51846744,51848224,1481,1,23882,ENSMUST00000132480.1,89432,ENSMUSG00000021453,Gadd45g,growth arrest and DNA-damage-inducible 45 gamma
chr13,51936424,51936664,241,*,Distal Intergenic,13,51846744,51848224,1481,1,23882,ENSMUST00000132480.1,89680,ENSMUSG00000021453,Gadd45g,growth arrest and DNA-damage-inducible 45 gamma
chr13,51951600,51951925,326,*,Distal Intergenic,13,51846744,51848224,1481,1,23882,ENSMUST00000132480.1,104856,ENSMUSG00000021453,Gadd45g,growth arrest and DNA-damage-inducible 45 gamma
chr13,52168037,52168345,309,*,Distal Intergenic,13,52098542,52099856,1315,1,74050,ENSMUST00000222527.1,69495,ENSMUSG00000113211,4921525O09Rik,RIKEN cDNA 4921525O09 gene
chr13,52793574,52793892,319,*,Distal Intergenic,13,52729922,52757205,27284,2,105404,ENSMUST00000223209.1,-36369,NA,BB123696,expressed sequence BB123696
chr13,52807821,52808164,344,*,Distal Intergenic,13,52729922,52757205,27284,2,105404,ENSMUST00000223209.1,-50616,NA,BB123696,expressed sequence BB123696
chr13,52914593,52915033,441,*,Promoter (4-5kb),13,52835119,52919232,84114,2,11992,ENSMUST00000137064.7,4199,ENSMUSG00000021460,Auh,AU RNA binding protein/enoyl-coenzyme A hydratase
chr13,52976185,52976465,281,*,Promoter (4-5kb),13,52967209,52981073,13865,2,18030,ENSMUST00000071065.7,4608,ENSMUSG00000056749,Nfil3,"nuclear factor, interleukin 3, regulated"
chr13,52986320,52986560,241,*,Promoter (5-6kb),13,52967209,52981073,13865,2,18030,ENSMUST00000071065.7,-5247,ENSMUSG00000056749,Nfil3,"nuclear factor, interleukin 3, regulated"
chr13,54188255,54188470,216,*,Promoter (3-4kb),13,54192129,54222432,30304,1,15466,ENSMUST00000038101.3,-3659,ENSMUSG00000034987,Hrh2,histamine receptor H2
chr13,56151353,56151757,405,*,Distal Intergenic,13,56104430,56136361,31932,2,26914,ENSMUST00000154778.7,-14992,ENSMUSG00000015937,Macroh2a1,macroH2A.1 histone
chr13,56507264,56507466,203,*,Distal Intergenic,13,56522472,56527467,4996,1,213311,ENSMUST00000121095.7,-15006,ENSMUSG00000035509,Fbxl21,F-box and leucine-rich repeat protein 21
chr13,58453645,58453864,220,*,Distal Intergenic,13,58405066,58410096,5031,1,74386,ENSMUST00000224479.1,48579,ENSMUSG00000035367,Rmi1,RecQ mediated genome instability 1
chr13,60936654,60936860,207,*,Promoter (<=1kb),13,60934155,60936625,2471,2,13024,ENSMUST00000021880.9,-29,ENSMUSG00000044258,Ctla2a,cytotoxic T lymphocyte-associated protein 2 alpha
chr13,63223504,63223800,297,*,"Intron (ENSMUST00000091560.10/72061, intron 10 of 14)",13,63240029,63302282,62254,1,72061,ENSMUST00000222929.1,-16229,ENSMUSG00000021458,Aopep,aminopeptidase O
chr13,67332564,67332805,242,*,Promoter (<=1kb),13,67314265,67332570,18306,2,218314,ENSMUST00000168892.8,0,ENSMUSG00000057842,Zfp595,zinc finger protein 595
chr13,75763307,75763457,151,*,Promoter (1-2kb),13,75761983,75770695,8713,1,192657,ENSMUST00000221979.1,1324,ENSMUSG00000001542,Ell2,elongation factor RNA polymerase II 2
chr13,85428191,85428593,403,*,Distal Intergenic,13,85215495,85289130,73636,2,218397,ENSMUST00000223598.1,-139061,ENSMUSG00000021549,Rasa1,RAS p21 protein activator 1
chr13,89428513,89428931,419,*,Distal Intergenic,13,89539796,89611652,71857,1,12950,ENSMUST00000022108.8,-110865,ENSMUSG00000021613,Hapln1,hyaluronan and proteoglycan link protein 1
